Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number,CoP Velocity X,CoP Velocity Y
1,0.01111111,15.39586,0.6593554,RED,0.1420101,0.6663821,0.6935608,2,1,13.85627,0.5934198
1,0.02222222,15.39586,0.6593554,RED,0.1420101,0.6663821,0.6935608,2,1,0,0
1,0.03333334,15.39586,0.6593554,RED,0.1419067,0.6663827,0.693529,2,1,0,0
1,0.04444445,15.39586,0.6593554,RED,0.1419067,0.6663827,0.693529,2,1,0,0
1,0.05555556,15.39586,0.6593554,RED,0.1419067,0.6663827,0.693529,2,1,0,0
1,0.06666667,15.39586,0.6593554,RED,0.1416961,0.6664779,0.6933208,2,1,0,0
1,0.07777778,15.39586,0.6593554,RED,0.1416961,0.6664779,0.6933208,2,1,0,0
1,0.08888889,15.39586,0.6593554,RED,0.1416961,0.6664779,0.6933208,2,1,0,0
1,0.1,15.39586,0.6593554,RED,0.1417619,0.6666077,0.693292,2,1,0,0
1,0.1111111,15.39586,0.6593554,RED,0.1417619,0.6666077,0.693292,2,1,0,0
1,0.1222222,15.39586,0.6593554,RED,0.1417619,0.6666077,0.693292,2,1,0,0
1,0.1333333,15.39586,0.6593554,RED,0.1417619,0.6666077,0.693292,2,1,0,0
1,0.1444445,15.39586,0.6593554,RED,0.1417619,0.6666077,0.693292,2,1,0,0
1,0.1555556,15.39586,0.6593554,RED,0.1415803,0.6668721,0.6933424,2,1,0,0
1,0.1666667,15.39586,0.6593554,RED,0.1415803,0.6668721,0.6933424,2,1,0,0
1,0.1777778,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.1888889,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.2,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.2111111,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.2222222,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.2333333,15.39586,0.6593554,RED,0.1416281,0.6669216,0.6930874,2,1,0,0
1,0.2444444,15.39586,0.6593554,RED,0.1413991,0.6671064,0.693118,2,1,0,0
1,0.2555556,15.39586,0.6593554,RED,0.1415159,0.6668981,0.6931264,2,1,0,0
1,0.2666667,15.39586,0.6593554,RED,0.1415159,0.6668981,0.6931264,2,1,0,0
1,0.2777778,15.39586,0.6593554,RED,0.1415159,0.6668981,0.6931264,2,1,0,0
1,0.2888889,15.39586,0.6593554,RED,0.1415159,0.6668981,0.6931264,2,1,0,0
1,0.3,15.39586,0.6593554,RED,0.1419784,0.6665615,0.6931301,2,1,0,0
1,0.3111111,15.39586,0.6593554,RED,0.1419784,0.6665615,0.6931301,2,1,0,0
1,0.3222222,15.39586,0.6593554,RED,0.1418459,0.6668109,0.6932681,2,1,0,0
1,0.3333333,15.39586,0.6593554,RED,0.1418459,0.6668109,0.6932681,2,1,0,0
1,0.3444445,15.39586,0.6593554,RED,0.1418459,0.6668109,0.6932681,2,1,0,0
1,0.3555556,15.39586,0.6593554,RED,0.1418459,0.6668109,0.6932681,2,1,0,0
1,0.3666667,15.39586,0.6593554,RED,0.1420376,0.6665597,0.6932691,2,1,0,0
1,0.3777778,15.39586,0.6593554,RED,0.1420376,0.6665597,0.6932691,2,1,0,0
1,0.3888889,15.39586,0.6593554,RED,0.1420376,0.6665597,0.6932691,2,1,0,0
1,0.4,15.39586,0.6593554,RED,0.1420376,0.6665597,0.6932691,2,1,0,0
1,0.4111111,15.39586,0.6593554,RED,0.1418284,0.6668638,0.6935151,2,1,0,0
1,0.4222222,15.39586,0.6593554,RED,0.1418284,0.6668638,0.6935151,2,1,0,0
1,0.4333333,15.39586,0.6593554,RED,0.1418284,0.6668638,0.6935151,2,1,0,0
1,0.4444444,15.39586,0.6593554,RED,0.1416407,0.6670469,0.6936411,2,1,0,0
1,0.4555556,15.39586,0.6593554,RED,0.1416407,0.6670469,0.6936411,2,1,0,0
1,0.4666667,15.39586,0.6593554,RED,0.1416407,0.6670469,0.6936411,2,1,0,0
1,0.4777778,15.39586,0.6593554,RED,0.1414113,0.6671042,0.6937274,2,1,0,0
1,0.4888889,15.39586,0.6593554,RED,0.1414113,0.6671042,0.6937274,2,1,0,0
1,0.5,15.39586,0.6593554,RED,0.1414113,0.6671042,0.6937274,2,1,0,0
1,0.5111111,15.39586,0.6593554,RED,0.1414492,0.6670592,0.6937374,2,1,0,0
1,0.5222223,15.39586,0.6593554,RED,0.1414492,0.6670592,0.6937374,2,1,0,0
1,0.5333334,15.39586,0.6593554,RED,0.1414492,0.6670592,0.6937374,2,1,0,0
1,0.5444446,15.39586,0.6593554,RED,0.1412367,0.6670948,0.6937947,2,1,0,0
1,0.5555557,15.39586,0.6593554,RED,0.1412367,0.6670948,0.6937947,2,1,0,0
1,0.5666668,15.39586,0.6593554,RED,0.1412367,0.6670948,0.6937947,2,1,0,0
1,0.577778,15.39586,0.6593554,RED,0.1410242,0.6670386,0.693809,2,1,0,0
1,0.5888891,15.39586,0.6593554,RED,0.1410242,0.6670386,0.693809,2,1,0,0
1,0.6000003,15.39586,0.6593554,RED,0.1410242,0.6670386,0.693809,2,1,0,0
1,0.6111114,15.39586,0.6593554,RED,0.1407596,0.667045,0.6938472,2,1,0,0
1,0.6222225,15.39586,0.6593554,RED,0.1407596,0.667045,0.6938472,2,1,0,0
1,0.6333337,15.39586,0.6593554,RED,0.1407596,0.667045,0.6938472,2,1,0,0
1,0.6444448,15.39586,0.6593554,RED,0.1404468,0.6671491,0.6938089,2,1,0,0
1,0.655556,15.39586,0.6593554,RED,0.1404468,0.6671491,0.6938089,2,1,0,0
1,0.6666671,15.39586,0.6593554,RED,0.1404468,0.6671491,0.6938089,2,1,0,0
1,0.6777782,15.39586,0.6593554,RED,0.1402932,0.6671469,0.6936666,2,1,0,0
1,0.6888894,15.39586,0.6593554,RED,0.1402932,0.6671469,0.6936666,2,1,0,0
1,0.7000005,15.39586,0.6593554,RED,0.1402932,0.6671469,0.6936666,2,1,0,0
1,0.7111117,15.39586,0.6593554,RED,0.1401019,0.6672505,0.6935913,2,1,0,0
1,0.7222228,15.39586,0.6593554,RED,0.1401019,0.6672505,0.6935913,2,1,0,0
1,0.7333339,15.39586,0.6593554,RED,0.1401019,0.6672505,0.6935913,2,1,0,0
1,0.7444451,15.39586,0.6593554,RED,0.1400146,0.6673211,0.6936107,2,1,0,0
1,0.7555562,15.39586,0.6593554,RED,0.1400146,0.6673211,0.6936107,2,1,0,0
1,0.7666674,15.39586,0.6593554,RED,0.1400146,0.6673211,0.6936107,2,1,0,0
1,0.7777785,15.39586,0.6593554,RED,0.1397341,0.6673332,0.6936928,2,1,0,0
1,0.7888896,15.39586,0.6593554,RED,0.1397341,0.6673332,0.6936928,2,1,0,0
1,0.8000008,15.39586,0.6593554,RED,0.1397341,0.6673332,0.6936928,2,1,0,0
1,0.8111119,15.39586,0.6593554,RED,0.1400008,0.667419,0.6937133,2,1,0,0
1,0.8222231,15.39586,0.6593554,RED,0.1400008,0.667419,0.6937133,2,1,0,0
1,0.8333342,15.39586,0.6593554,RED,0.1400008,0.667419,0.6937133,2,1,0,0
1,0.8444453,15.39586,0.6593554,RED,0.1400008,0.667419,0.6937133,2,1,0,0
1,0.8555565,15.39586,0.6593554,RED,0.1401465,0.6674387,0.6937577,2,1,0,0
1,0.8666676,15.39586,0.6593554,RED,0.1401465,0.6674387,0.6937577,2,1,0,0
1,0.8777788,15.39586,0.6593554,RED,0.1401848,0.6675392,0.6936909,2,1,0,0
1,0.8888899,15.39586,0.6593554,RED,0.1401848,0.6675392,0.6936909,2,1,0,0
1,0.900001,15.39586,0.6593554,RED,0.1401848,0.6675392,0.6936909,2,1,0,0
1,0.9111122,15.39586,0.6593554,RED,0.1402392,0.6677532,0.6937521,2,1,0,0
1,0.9222233,15.39586,0.6593554,RED,0.1402392,0.6677532,0.6937521,2,1,0,0
