Time,Head X,Head Y,Head Z,Neck X,Neck Y,Neck Z,SpineShoulder X,SpineShoulder Y,SpineShoulder Z,SpineMid X,SpineMid Y,SpineMid Z,SpineBase X,SpineBase Y,SpineBase Z,RightShoulder X,RightShoulder Y,RightShoulder Z,LeftShoulder X,LeftShoulder Y,LeftShoulder Z,RightElbow X,RightElbow Y,RightElbow Z,LeftElbow X,LeftElbow Y,LeftElbow Z,RightWrist X,RightWrist Y,RightWrist Z,LeftWrist X,LeftWrist Y,LeftWrist Z,RightHand X,RightHand Y,RightHand Z,LeftHand X,LeftHand Y,LeftHand Z,RightThumb X,RightThumb Y,RightThumb Z,LeftThumb X,LeftThumb Y,LeftThumb Z,RightHandTip X,RightHandTip Y,RightHandTip Z,LeftHandTip X,LeftHandTip Y,LeftHandTip Z,RightHip X,RightHip Y,RightHip Z,LeftHip X,LeftHip Y,LeftHip Z,RightKnee X,RightKnee Y,RightKnee Z,LeftKnee X,LeftKnee Y,LeftKnee Z,RightAnkle X,RightAnkle Y,RightAnkle Z,LeftAnkle X,LeftAnkle Y,LeftAnkle Z,RightFoot X,RightFoot Y,RightFoot Z,LeftFoot X,LeftFoot Y,LeftFoot Z
0,-0.1447029,1.414919,0.4644869,-0.1464636,1.294233,0.4351577,-0.1479969,1.198871,0.4426786,-0.1494419,1.103592,0.4508829,-0.1503175,1.008911,0.4643773,0.04037262,1.290593,0.4073486,-0.3257288,1.258214,0.4791141,0.2340641,1.297735,0.5129238,-0.3441536,1.082302,0.6111327,0.1252088,1.483723,0.5605926,-0.2822492,0.9694537,0.7904273,0.06271396,1.552457,0.5706661,-0.2439927,0.9381887,0.8697393,0.0819696,1.502988,0.5598514,-0.2503628,0.9461496,0.8165329,0.07298908,1.563441,0.5856885,-0.2618233,0.937169,0.8812687,-0.06454726,0.8279149,0.47124,-0.2383577,0.8312686,0.4936236,-0.05331662,0.473577,0.3249326,-0.2377476,0.4781166,0.3440551,-0.04238687,0.1287348,0.1825463,-0.2371536,0.134429,0.1984948,-0.05710111,0.004235029,0.2350605,-0.2266778,0.003453374,0.2332812
0.01111111,-0.1450156,1.418363,0.4631944,-0.1468925,1.29631,0.4402246,-0.1485094,1.201005,0.4484314,-0.1500382,1.105789,0.4573209,-0.150968,1.01086,0.4689373,0.03979894,1.291814,0.4116058,-0.3264687,1.260651,0.4832638,0.2347511,1.298272,0.5148795,-0.3538711,1.078292,0.6045393,0.1252589,1.484631,0.559549,-0.2844629,0.9738046,0.7861388,0.0632081,1.553759,0.5696709,-0.2461531,0.9451756,0.8664145,0.08215245,1.504189,0.5587675,-0.2519872,0.9522677,0.8130242,0.0735253,1.564634,0.5847433,-0.2641093,0.9434619,0.8776634,-0.06529047,0.8297341,0.4729452,-0.2391194,0.8328107,0.4952253,-0.05389702,0.4751371,0.3272793,-0.237996,0.4792907,0.3465317,-0.0428089,0.1300431,0.1855173,-0.2369028,0.1352448,0.2018231,-0.05690754,0.004197896,0.2349004,-0.2265978,0.003426254,0.2333214
0.02222222,-0.1450156,1.418363,0.4631944,-0.1468925,1.29631,0.4402246,-0.1485094,1.201005,0.4484314,-0.1500382,1.105789,0.4573209,-0.150968,1.01086,0.4689373,0.03979894,1.291814,0.4116058,-0.3264687,1.260651,0.4832638,0.2347511,1.298272,0.5148795,-0.3538711,1.078292,0.6045393,0.1252589,1.484631,0.559549,-0.2844629,0.9738046,0.7861388,0.0632081,1.553759,0.5696709,-0.2461531,0.9451756,0.8664145,0.08215245,1.504189,0.5587675,-0.2519872,0.9522677,0.8130242,0.0735253,1.564634,0.5847433,-0.2641093,0.9434619,0.8776634,-0.06529047,0.8297341,0.4729452,-0.2391194,0.8328107,0.4952253,-0.05389702,0.4751371,0.3272793,-0.237996,0.4792907,0.3465317,-0.0428089,0.1300431,0.1855173,-0.2369028,0.1352448,0.2018231,-0.05690754,0.004197896,0.2349004,-0.2265978,0.003426254,0.2333214
0.03333334,-0.1453258,1.421786,0.4619722,-0.1477169,1.30156,0.4308535,-0.1498277,1.206436,0.4408463,-0.1518545,1.111413,0.4515207,-0.1530881,1.017186,0.4678645,0.03932629,1.294788,0.4050736,-0.3279547,1.267417,0.4723895,0.2317965,1.299891,0.5129744,-0.3635332,1.080713,0.5845912,0.1249131,1.487558,0.5584778,-0.289389,0.9863796,0.7698407,0.0633385,1.557133,0.5684451,-0.25039,0.9644799,0.8518831,0.0819326,1.507393,0.5577171,-0.255697,0.9689266,0.7981529,0.07376456,1.568009,0.5834423,-0.2683563,0.9615939,0.862873,-0.06777004,0.8361962,0.4791257,-0.2416829,0.8404201,0.500546,-0.05617584,0.4805265,0.3361153,-0.2385593,0.484635,0.3573862,-0.04489232,0.1343883,0.1969374,-0.2355195,0.1383848,0.2180631,-0.05686655,0.004417539,0.2348666,-0.2265056,0.003602326,0.2331266
0.04444445,-0.1464749,1.429628,0.4589916,-0.1491751,1.30593,0.4480508,-0.1513796,1.210923,0.4590829,-0.1534994,1.116024,0.4707954,-0.1547839,1.020863,0.4802904,0.03735121,1.297799,0.4192131,-0.329942,1.272138,0.4876637,0.2341353,1.301708,0.5190836,-0.3774792,1.075676,0.5763015,0.125075,1.489729,0.557391,-0.2919196,0.9929369,0.7621705,0.06369477,1.5595,0.5671861,-0.2522924,0.9745471,0.8447719,0.08215309,1.509688,0.5565594,-0.2576549,0.9774628,0.7909423,0.07413972,1.570371,0.5821736,-0.2701602,0.9712629,0.8558104,-0.06956159,0.8394858,0.4818998,-0.2435222,0.8426284,0.503117,-0.05772578,0.4830955,0.3407147,-0.239278,0.4860335,0.3620159,-0.04620706,0.1362563,0.2033133,-0.2351475,0.1389951,0.2246962,-0.05694311,0.004469812,0.2348023,-0.2265694,0.003604352,0.2330757
0.05555556,-0.1472397,1.434087,0.4570365,-0.1498616,1.3104,0.4459451,-0.1519944,1.215548,0.4582536,-0.1540436,1.120814,0.471241,-0.1552911,1.025807,0.4821718,0.03669214,1.30088,0.417717,-0.3313801,1.276485,0.482026,0.2329918,1.302767,0.5185951,-0.3807362,1.083217,0.5764995,0.125221,1.491607,0.55652,-0.3216354,0.9752223,0.7596871,0.06420424,1.561722,0.566129,-0.2821151,0.9603526,0.8430446,0.08241265,1.511803,0.5555717,-0.2872267,0.9614039,0.7891221,0.07467171,1.572542,0.5811375,-0.2999749,0.9570606,0.8540939,-0.07005348,0.8444673,0.4858857,-0.2440363,0.8478272,0.506887,-0.05895587,0.4866722,0.3482376,-0.2386093,0.4886056,0.3726563,-0.04815599,0.1384658,0.2142783,-0.233328,0.139011,0.2420231,-0.05699339,0.004381597,0.2347186,-0.2265941,0.003551781,0.2330804
0.06666667,-0.1481208,1.439157,0.4548659,-0.1511073,1.315077,0.4500096,-0.1534928,1.220392,0.4635001,-0.1557967,1.125834,0.4776684,-0.1572022,1.030681,0.4872281,0.03533747,1.303916,0.4217137,-0.3329597,1.281905,0.4851177,0.2324027,1.304013,0.5211059,-0.3874295,1.084687,0.5678919,0.1253651,1.493823,0.5561553,-0.3222278,0.9841283,0.7532299,0.06487847,1.564433,0.5654887,-0.282905,0.9728929,0.8372475,0.08273266,1.514376,0.5549792,-0.28761,0.9723015,0.783281,0.07534692,1.575148,0.5805714,-0.300732,0.9692933,0.8482538,-0.0721411,0.8492429,0.4900764,-0.2462085,0.8526192,0.510361,-0.0612003,0.489839,0.3566732,-0.2378269,0.4881371,0.3913233,-0.05055314,0.1400669,0.2268452,-0.2296704,0.133423,0.2754757,-0.05698705,0.004526019,0.234707,-0.2266999,0.004249156,0.2332883
0.07777778,-0.1485974,1.443075,0.4528772,-0.152078,1.319777,0.4674997,-0.1547987,1.22477,0.47842,-0.1574389,1.129871,0.4900214,-0.1590481,1.034482,0.4967887,0.03373151,1.309299,0.4352625,-0.3343594,1.286103,0.4998463,0.235471,1.307608,0.5247713,-0.4013948,1.082664,0.5530653,0.1256511,1.496679,0.5548574,-0.3265645,0.9906328,0.7391949,0.06568178,1.567761,0.5639409,-0.2865281,0.9834368,0.8233184,0.08319392,1.517578,0.5534585,-0.2914735,0.980852,0.7694321,0.07614555,1.578367,0.5791032,-0.3041898,0.9797052,0.834545,-0.07422001,0.8529422,0.4935232,-0.2483595,0.8558332,0.5132574,-0.06351123,0.491805,0.3648663,-0.2390783,0.4916042,0.3935134,-0.05308991,0.140346,0.2396574,-0.2300459,0.1371364,0.2769786,-0.05699154,0.004570961,0.2347239,-0.2267567,0.008052289,0.234541
0.08888889,-0.1491347,1.447752,0.450994,-0.1529842,1.324683,0.4673527,-0.1559879,1.229848,0.4796108,-0.1589133,1.13513,0.4925487,-0.1606897,1.039804,0.5001105,0.03283004,1.312575,0.43574,-0.3354236,1.291964,0.4997802,0.2343754,1.309491,0.5256475,-0.4036865,1.085532,0.5377206,0.1256472,1.499497,0.553744,-0.3140114,1.011361,0.7252585,0.06621524,1.571073,0.5624713,-0.2741377,1.007153,0.8096614,0.08337026,1.520742,0.5521117,-0.2789476,1.002751,0.7558808,0.07668685,1.581604,0.5776809,-0.2918087,1.003719,0.8209682,-0.07605343,0.8581567,0.4981015,-0.2502561,0.8613436,0.5172225,-0.06787991,0.4917648,0.3850634,-0.2402619,0.4974009,0.3966688,-0.05992537,0.1351919,0.2750548,-0.2305359,0.1432115,0.279346,-0.05702864,0.005341113,0.2349939,-0.2269939,0.01422888,0.2366211
0.1,-0.1495827,1.453235,0.4491894,-0.1538523,1.330285,0.4663225,-0.1571779,1.235541,0.4791773,-0.1604283,1.140917,0.4927115,-0.1623856,1.045651,0.5009556,0.03200426,1.316789,0.4355589,-0.3366372,1.298192,0.4974226,0.2331921,1.311639,0.5261701,-0.4087827,1.091574,0.5260176,0.1253636,1.502303,0.5532541,-0.3165746,1.024443,0.714974,0.06634463,1.574262,0.5616307,-0.2765822,1.024148,0.7994252,0.0832231,1.523802,0.5514405,-0.2812488,1.017926,0.7458118,0.07683302,1.584764,0.576849,-0.2941321,1.020495,0.8108512,-0.0779322,0.8639189,0.5030478,-0.2522145,0.8676643,0.5213232,-0.06904175,0.4979309,0.3887624,-0.2414967,0.5039836,0.4000428,-0.06038962,0.1417511,0.27754,-0.2310662,0.1500492,0.282013,-0.05723879,0.01204342,0.237037,-0.2272679,0.02115941,0.2390307
