Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Accuracy Score,Time Score,Cumulative Accuracy Score,Cumulative Time Score,Cumulative Score,Reach Distance,Green Time,Yellow Time,Red Time,Preceding Green Time,Preceding Yellow Time,Preceding Red Time
11,NO,NO,1,8.800052,4,8.800052,YES,YES,YES,5.914999,1.509858,59.77113,5.968961,4.769013,1.199948,4.769013,1.199948,5.968961,1.136415,0.3555556,7.355588,1.08889,0.3555603,1.377796,0.2666702
11,NO,NO,2,11.55564,5,2.755553,YES,YES,YES,7.861733,2.872797,45.09045,13.45508,6.210629,7.244447,10.97964,8.444395,19.42404,1.081487,0.8888899,1.855559,0.01111111,0.6333418,1.366685,0
11,NO,NO,3,13.65567,6,2.100003,YES,YES,YES,5.617763,-3.843243,30.33581,8.146762,0.2467651,7.899997,11.22641,16.34439,27.5708,0.939508,0.9444456,1.144446,0.01111111,0.9444571,1.05557,0
11,NO,NO,4,21.65529,3,8.000041,YES,YES,YES,-6.472838,1.928499,66.56668,7.700991,5.701032,1.999959,16.92744,18.34435,35.27179,1.001851,3.511103,3.144439,1.344447,1.299906,0.7110596,0
11,NO,NO,5,26.38828,1,4.733331,YES,YES,YES,-3.557774,-4.344742,92.89114,13.09475,7.828083,5.266669,24.75552,23.61102,48.36654,0.7718264,0.3777778,3.733323,0.6222225,0.3777504,1.177692,0.4555225
11,NO,NO,6,28.0215,2,1.633336,YES,YES,NO,-10.64579,1.776779,28.33788,10.7388,2.372134,8.366664,27.12766,31.97768,59.10534,0.8902134,0.3777778,1.244446,0.01111111,0.3777504,1.244354,0.01111031
11,NO,NO,7,28.9992,3,0.977779,YES,YES,NO,-7.61739,3.620225,14.21885,16.04301,7.020794,9.022221,34.14845,40.9999,75.14835,0.9959928,0.6888894,0.2888889,0,0.688839,0.288868,0
11,NO,NO,8,31.07683,4,2.077781,YES,YES,NO,5.751274,1.413178,20.06833,11.76423,3.84201,7.922219,37.99046,48.92212,86.91258,1.131124,0.1555556,0.2666667,1.655559,0.144434,0.2666473,1.599884
11,NO,NO,9,33.03242,5,1.955559,YES,YES,NO,5.873338,-2.524667,29.05511,14.00683,5.962394,8.04444,43.95286,56.96656,100.9194,1.073222,1.266669,0.6888894,0,1.26667,0.6889191,0
11,NO,NO,10,34.69925,6,1.66667,YES,YES,NO,6.930692,-3.52248,28.14597,9.124525,0.7911949,8.33333,44.74405,65.2999,110.0439,0.938072,0.7444451,0.9222233,0,0.7445183,0.9223137,0
11,NO,NO,11,41.1999,1,6.500021,YES,YES,NO,-2.145476,-5.761462,110.9855,4.886215,1.386236,3.499979,46.13029,68.79987,114.9302,0.7659822,1.133335,3.488881,1.877781,0.5556107,1.444588,0
11,NO,NO,12,42.44447,2,1.244446,YES,YES,YES,-10.35631,2.854907,18.15879,11.22192,2.466369,8.755553,48.59666,77.55543,126.1521,0.8903219,0.4444444,0.8000008,0,0.4444885,0.8000793,0
11,NO,NO,13,44.33354,1,1.888893,YES,YES,YES,-1.867963,-2.663991,39.85336,8.630178,0.5190706,8.111108,49.11573,85.66653,134.7823,0.7686113,0.5111111,1.37778,0,0.5111618,1.377914,0
11,NO,NO,14,47.43385,6,3.099995,YES,YES,YES,7.06771,-3.881363,46.50229,9.473613,2.573607,6.900005,51.68933,92.56654,144.2559,0.9371479,0.4555556,1.044446,1.600003,0.4444885,0.9778748,0.5778351
