Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number,CoP Velocity X,CoP Velocity Y
,0.01111111,13.27999,-1.735361,RED,-1.659808,0.7369851,-1.106289,2,1,11.95199,-1.561825
,0.02222222,13.27999,-1.735361,RED,-1.659808,0.7369851,-1.106289,2,1,0,0
,0.03333334,13.27999,-1.735361,RED,-1.659808,0.7369851,-1.106289,2,1,0,0
,0.04444445,13.27999,-1.735361,RED,-1.659808,0.7369851,-1.106289,2,1,0,0
,0.05555556,13.27999,-1.735361,RED,-1.659597,0.737216,-1.106009,2,1,0,0
,0.06666667,12.69944,-1.763595,RED,-1.659597,0.737216,-1.106009,2,1,-0.5224986,-0.02540996
,0.07777778,12.69944,-1.763595,RED,-1.659597,0.737216,-1.106009,2,1,0,0
,0.08888889,12.69944,-1.763595,RED,-1.659597,0.737216,-1.106009,2,1,0,0
,0.1,12.69944,-1.763595,RED,-1.660103,0.7373191,-1.107086,2,1,0,0
,0.1111111,13.21549,-1.570101,RED,-1.660103,0.7373191,-1.107086,2,1,0.4644427,0.1741438
,0.1222222,13.21549,-1.570101,RED,-1.660733,0.7368191,-1.106542,2,1,0,0
,0.1333333,13.32336,-1.96049,RED,-1.660733,0.7368191,-1.106542,2,1,0.09708653,-0.3513495
,0.1444445,13.32336,-1.96049,RED,-1.660733,0.7368191,-1.106542,2,1,0,0
,0.1555556,13.32336,-1.96049,RED,-1.660379,0.7365241,-1.106906,2,1,0,0
,0.1666667,13.29559,-1.919577,RED,-1.660379,0.7365241,-1.106906,2,1,-0.02499819,0.03682169
,0.1777778,13.29559,-1.919577,RED,-1.660586,0.737241,-1.106773,2,1,0,0
,0.1888889,12.23705,-1.371558,RED,-1.660586,0.737241,-1.106773,2,1,-0.9526837,0.4932172
,0.2,12.23705,-1.371558,RED,-1.660586,0.737241,-1.106773,2,1,0,0
,0.2111111,12.23705,-1.371558,RED,-1.660586,0.737241,-1.106773,2,1,0,0
,0.2222222,12.23705,-1.371558,RED,-1.660528,0.7372556,-1.106808,2,1,0,0
,0.2333333,12.80965,-1.336419,RED,-1.660528,0.7372556,-1.106808,2,1,0.5153395,0.03162517
,0.2444444,12.80965,-1.336419,RED,-1.660936,0.7377995,-1.106423,2,1,0,0
,0.2555556,12.84093,-1.732316,RED,-1.660936,0.7377995,-1.106423,2,1,0.02815418,-0.3563077
,0.2666667,12.84093,-1.732316,RED,-1.660936,0.7377995,-1.106423,2,1,0,0
,0.2777778,12.84093,-1.732316,RED,-1.660936,0.7377995,-1.106423,2,1,0,0
,0.2888889,12.84093,-1.732316,RED,-1.660582,0.7370774,-1.106845,2,1,0,0
,0.3,13.21263,-1.594446,RED,-1.660582,0.7370774,-1.106845,2,1,0.334532,0.1240833
,0.3111111,13.21263,-1.594446,RED,-1.660443,0.7369579,-1.106977,2,1,0,0
,0.3222222,12.64974,-2.01688,RED,-1.660443,0.7369579,-1.106977,2,1,-0.5065993,-0.3801908
,0.3333333,12.64974,-2.01688,RED,-1.660443,0.7369579,-1.106977,2,1,0,0
,0.3444445,12.64974,-2.01688,RED,-1.660443,0.7369579,-1.106977,2,1,0,0
,0.3555556,12.64974,-2.01688,RED,-1.660443,0.7369579,-1.106977,2,1,0,0
,0.3666667,12.64974,-2.01688,RED,-1.660541,0.7370864,-1.106861,2,1,0,0
,0.3777778,13.41471,-1.552229,RED,-1.660452,0.7370253,-1.106888,2,1,0.6884728,0.4181858
,0.3888889,13.09039,-1.420663,RED,-1.660452,0.7370253,-1.106888,2,1,-0.291893,0.1184092
,0.4,13.09039,-1.420663,RED,-1.660452,0.7370253,-1.106888,2,1,0,0
,0.4111111,13.09039,-1.420663,RED,-1.660358,0.7368735,-1.106996,2,1,0,0
,0.4222222,12.41588,-1.752605,RED,-1.660358,0.7368735,-1.106996,2,1,-0.6070573,-0.2987472
,0.4333333,12.41588,-1.752605,RED,-1.660358,0.7368735,-1.106996,2,1,0,0
,0.4444444,12.41588,-1.752605,RED,-1.660309,0.7367718,-1.107079,2,1,0,0
,0.4555556,13.01028,-1.374788,RED,-1.660309,0.7367718,-1.107079,2,1,0.534956,0.3400354
,0.4666667,13.16983,-1.470643,RED,-1.660309,0.7367718,-1.107079,2,1,0.1435965,-0.08626982
,0.4777778,13.16983,-1.470643,RED,-1.660139,0.7363701,-1.107335,2,1,0,0
,0.4888889,13.09071,-2.218582,RED,-1.660139,0.7363701,-1.107335,2,1,-0.07120685,-0.6731448
,0.5,13.09071,-2.218582,RED,-1.660139,0.7363701,-1.107335,2,1,0,0
,0.5111111,13.09071,-2.218582,RED,-1.660139,0.7363701,-1.107335,2,1,0,0
,0.5222223,13.09071,-2.218582,RED,-1.660139,0.7363701,-1.107335,2,1,0,0
,0.5333334,13.09071,-2.218582,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.5444446,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,-0.7680808,0.6966045
,0.5555557,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.5666668,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.577778,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.5888891,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6000003,12.23729,-1.444577,RED,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6111114,11.66354,-1.506846,RED,-1.66044,0.7359229,-1.107311,2,1,-0.5163754,-0.0560424
,0.6222225,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6333337,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6444448,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.655556,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6666671,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
,0.6777782,11.66354,-1.506846,YELLOW,-1.66044,0.7359229,-1.107311,2,1,0,0
