Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
DL,0.01111111,3.183024,-2.198525,RED,-5.946564,-18.39365,42.46983,3,1
DL,0.02222222,3.226209,-2.145781,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.03333334,3.26101,-2.073299,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.04444445,3.26101,-2.073299,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.05555556,3.26101,-2.073299,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.06666667,3.260083,-2.031049,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.07777778,3.296489,-1.970341,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.08888889,3.31028,-1.970188,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1,3.381838,-1.928364,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1111111,3.381838,-1.928364,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1222222,3.357647,-1.903834,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1333333,3.357647,-1.903834,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1444445,3.36563,-1.908037,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1555556,3.398731,-1.91071,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1666667,3.398731,-1.91071,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1777778,3.409092,-1.916746,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.1888889,3.409092,-1.916746,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2,3.397213,-1.955542,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2111111,3.397213,-1.955542,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2222222,3.474534,-1.974555,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2333333,3.459069,-2.012027,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2444444,3.459069,-2.012027,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2555556,3.487308,-2.149184,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2666667,3.487308,-2.149184,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2777778,3.508012,-2.186278,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.2888889,3.508012,-2.186278,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3,3.548474,-2.234865,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3111111,3.618976,-2.266116,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3222222,3.618976,-2.266116,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3333333,3.61654,-2.249443,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3444445,3.668589,-2.304899,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3555556,3.668589,-2.304899,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3666667,3.694814,-2.311394,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3777778,3.711406,-2.305182,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.3888889,3.778183,-2.361269,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4,3.771471,-2.383681,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4111111,3.801567,-2.419187,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4222222,3.801567,-2.419187,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4333333,3.866865,-2.46994,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4444444,3.863173,-2.501847,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4555556,3.925318,-2.527781,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4666667,3.925318,-2.527781,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4777778,3.975757,-2.563466,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.4888889,4.048434,-2.629424,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5,4.048434,-2.629424,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5111111,4.093829,-2.662083,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5222223,4.087955,-2.713161,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5333334,4.087955,-2.713161,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5444446,4.080294,-2.769874,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5555557,4.179357,-2.813714,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5666668,4.179357,-2.813714,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.577778,4.118754,-2.845392,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.5888891,4.166395,-2.920362,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.6000003,4.166395,-2.920362,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.6111114,4.161033,-2.956439,YELLOW,-5.946564,-18.39365,42.46983,3,1
DL,0.6222225,4.139853,-2.963695,YELLOW,-5.946564,-18.39365,42.46983,3,1
