Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number,CoP Velocity X,CoP Velocity Y
DL_March_13,0.01111111,0,0,RED,0.8260022,1.048498,-0.2368578,2,1,0,0
DL_March_13,0.02222222,0,0,GREEN,0.8260022,1.048498,-0.2368578,2,1,0,0
DL_March_13,0.03333334,0,0,GREEN,0.8260022,1.048498,-0.2368578,2,1,0,0
DL_March_13,0.04444445,0,0,GREEN,0.8257567,1.049227,-0.2342197,2,1,0,0
DL_March_13,0.05555556,0,0,GREEN,0.8257567,1.049227,-0.2342197,2,1,0,0
DL_March_13,0.06666667,0,0,GREEN,0.8257567,1.049227,-0.2342197,2,1,0,0
DL_March_13,0.07777778,0,0,GREEN,0.8250893,1.049603,-0.2306726,2,1,0,0
DL_March_13,0.08888889,0,0,GREEN,0.8250893,1.049603,-0.2306726,2,1,0,0
DL_March_13,0.1,0,0,GREEN,0.8250893,1.049603,-0.2306726,2,1,0,0
DL_March_13,0.1111111,0,0,GREEN,0.8241743,1.049645,-0.2263883,2,1,0,0
DL_March_13,0.1222222,0,0,GREEN,0.8241743,1.049645,-0.2263883,2,1,0,0
DL_March_13,0.1333333,0,0,GREEN,0.8241743,1.049645,-0.2263883,2,1,0,0
DL_March_13,0.1444445,0,0,GREEN,0.8229629,1.049927,-0.2218655,2,1,0,0
DL_March_13,0.1555556,0,0,GREEN,0.8229629,1.049927,-0.2218655,2,1,0,0
DL_March_13,0.1666667,0,0,GREEN,0.8229629,1.049927,-0.2218655,2,1,0,0
DL_March_13,0.1777778,0,0,GREEN,0.8213857,1.050372,-0.2166299,2,1,0,0
DL_March_13,0.1888889,0,0,GREEN,0.8213857,1.050372,-0.2166299,2,1,0,0
DL_March_13,0.2,0,0,GREEN,0.8213857,1.050372,-0.2166299,2,1,0,0
DL_March_13,0.2111111,0,0,GREEN,0.819208,1.050556,-0.211326,2,1,0,0
DL_March_13,0.2222222,0,0,GREEN,0.819208,1.050556,-0.211326,2,1,0,0
DL_March_13,0.2333333,0,0,GREEN,0.819208,1.050556,-0.211326,2,1,0,0
DL_March_13,0.2444444,0,0,GREEN,0.8168484,1.050986,-0.2065607,2,1,0,0
DL_March_13,0.2555556,0,0,GREEN,0.8168484,1.050986,-0.2065607,2,1,0,0
DL_March_13,0.2666667,0,0,GREEN,0.8168484,1.050986,-0.2065607,2,1,0,0
DL_March_13,0.2777778,0,0,GREEN,0.8136028,1.051637,-0.2024246,2,1,0,0
DL_March_13,0.2888889,0,0,GREEN,0.8136028,1.051637,-0.2024246,2,1,0,0
DL_March_13,0.3,0,0,GREEN,0.8136028,1.051637,-0.2024246,2,1,0,0
DL_March_13,0.3111111,0,0,GREEN,0.8102189,1.051967,-0.1976687,2,1,0,0
DL_March_13,0.3222222,0,0,GREEN,0.8102189,1.051967,-0.1976687,2,1,0,0
DL_March_13,0.3333333,0,0,GREEN,0.8102189,1.051967,-0.1976687,2,1,0,0
DL_March_13,0.3444445,0,0,GREEN,0.806573,1.052748,-0.192753,2,1,0,0
