Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Emily-1,0.01111111,-2.255899,-1.511864,RED,0.06816542,1.016142,-0.6294831,3,1
Emily-1,0.02222222,-2.228433,-1.506117,YELLOW,0.06824374,1.016187,-0.6294471,3,1
Emily-1,0.03333334,-2.228433,-1.506117,YELLOW,0.06820655,1.016083,-0.6293001,3,1
Emily-1,0.04444445,-2.221621,-1.50896,YELLOW,0.06818402,1.016064,-0.6292222,3,1
Emily-1,0.05555556,-2.21337,-1.516575,YELLOW,0.06825948,1.016171,-0.629353,3,1
Emily-1,0.06666667,-2.197358,-1.517426,YELLOW,0.06813943,1.016023,-0.6291628,3,1
Emily-1,0.07777778,-2.197358,-1.517426,YELLOW,0.06809294,1.01599,-0.6290771,3,1
Emily-1,0.08888889,-2.191669,-1.507667,YELLOW,0.06819856,1.016073,-0.6291999,3,1
Emily-1,0.1,-2.214826,-1.501009,YELLOW,0.06812644,1.015911,-0.6291004,3,1
Emily-1,0.1111111,-2.214826,-1.501009,YELLOW,0.06810987,1.015876,-0.6290388,3,1
Emily-1,0.1222222,-2.218957,-1.510165,YELLOW,0.0680958,1.015869,-0.628981,3,1
Emily-1,0.1333333,-2.237852,-1.501909,YELLOW,0.06812632,1.015813,-0.6292357,3,1
Emily-1,0.1444445,-2.237852,-1.501909,YELLOW,0.06809843,1.015776,-0.6292058,3,1
Emily-1,0.1555556,-2.246112,-1.509387,YELLOW,0.06815243,1.015853,-0.6292992,3,1
Emily-1,0.1666667,-2.305534,-1.503937,YELLOW,0.06801593,1.015693,-0.6290779,3,1
Emily-1,0.1777778,-2.305534,-1.503937,YELLOW,0.06798947,1.015661,-0.6290315,3,1
Emily-1,0.1888889,-2.271901,-1.504129,YELLOW,0.0680145,1.015727,-0.6288905,3,1
Emily-1,0.2,-2.271901,-1.504129,YELLOW,0.06800056,1.015726,-0.6288282,3,1
Emily-1,0.2111111,-2.304,-1.503322,YELLOW,0.06799483,1.015709,-0.62878,3,1
Emily-1,0.2222222,-2.304,-1.503322,YELLOW,0.06820476,1.015772,-0.6288048,3,1
Emily-1,0.2333333,-2.268493,-1.480897,YELLOW,0.06809914,1.015684,-0.6285435,3,1
Emily-1,0.2444444,-2.302299,-1.46437,YELLOW,0.06811428,1.015692,-0.6284684,3,1
Emily-1,0.2555556,-2.302299,-1.46437,YELLOW,0.06829679,1.015808,-0.6285353,3,1
Emily-1,0.2666667,-2.280473,-1.462102,YELLOW,0.06828511,1.015692,-0.6284528,3,1
Emily-1,0.2777778,-2.280473,-1.462102,YELLOW,0.06828499,1.01568,-0.6283919,3,1
Emily-1,0.2888889,-2.339895,-1.444294,YELLOW,0.06834793,1.015792,-0.6285437,3,1
Emily-1,0.3,-2.280384,-1.449202,YELLOW,0.06832433,1.015672,-0.6284562,3,1
Emily-1,0.3111111,-2.280384,-1.449202,YELLOW,0.06834626,1.015665,-0.6284136,3,1
Emily-1,0.3222222,-2.312899,-1.41135,YELLOW,0.06842673,1.015792,-0.6285769,3,1
Emily-1,0.3333333,-2.312899,-1.41135,YELLOW,0.06836998,1.015671,-0.6283827,3,1
Emily-1,0.3444445,-2.281905,-1.372314,YELLOW,0.0685128,1.015721,-0.6284566,3,1
Emily-1,0.3555556,-2.281905,-1.372314,YELLOW,0.06854737,1.015681,-0.6284074,3,1
Emily-1,0.3666667,-2.342355,-1.36796,YELLOW,0.06858826,1.015544,-0.6284187,3,1
Emily-1,0.3777778,-2.332808,-1.356465,YELLOW,0.06858826,1.015544,-0.6284187,3,1
Emily-1,0.3888889,-2.332808,-1.356465,YELLOW,0.06861126,1.015481,-0.6283749,3,1
Emily-1,0.4,-2.271907,-1.319895,YELLOW,0.06865728,1.015477,-0.6283613,3,1
Emily-1,0.4111111,-2.286443,-1.324578,YELLOW,0.06869924,1.015449,-0.6283535,3,1
Emily-1,0.4222222,-2.292099,-1.308729,YELLOW,0.06866968,1.015422,-0.6283058,3,1
Emily-1,0.4333333,-2.292099,-1.308729,YELLOW,0.06871533,1.015397,-0.6282959,3,1
Emily-1,0.4444444,-2.292099,-1.308729,YELLOW,0.06876969,1.015376,-0.628296,3,1
