Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Johanna2,0.01111111,-1.351981,-2.87115,RED,0,0,0,2,1
Johanna2,0.02222222,-1.41984,-2.856255,YELLOW,0,0,0,2,1
Johanna2,0.03333334,-1.515837,-2.82669,YELLOW,0,0,0,2,1
Johanna2,0.04444445,-1.515837,-2.82669,YELLOW,0,0,0,2,1
Johanna2,0.05555556,-1.515837,-2.82669,YELLOW,0,0,0,2,1
Johanna2,0.06666667,-1.503135,-2.832869,YELLOW,0,0,0,2,1
Johanna2,0.07777778,-1.474774,-2.834631,YELLOW,0,0,0,2,1
Johanna2,0.08888889,-1.474774,-2.834631,YELLOW,0,0,0,2,1
Johanna2,0.1,-1.464251,-2.835101,YELLOW,0,0,0,2,1
Johanna2,0.1111111,-1.464251,-2.835101,YELLOW,0,0,0,2,1
Johanna2,0.1222222,-1.445838,-2.837454,YELLOW,0,0,0,2,1
Johanna2,0.1333333,-1.461446,-2.85017,YELLOW,0,0,0,2,1
Johanna2,0.1444445,-1.461446,-2.85017,YELLOW,0,0,0,2,1
Johanna2,0.1555556,-1.507819,-2.872785,YELLOW,0,0,0,2,1
Johanna2,0.1666667,-1.507819,-2.872785,YELLOW,0,0,0,2,1
Johanna2,0.1777778,-1.583731,-2.947021,YELLOW,0,0,0,2,1
Johanna2,0.1888889,-1.583731,-2.947021,YELLOW,0,0,0,2,1
Johanna2,0.2,-1.583731,-2.947021,YELLOW,0,0,0,2,1
Johanna2,0.2111111,-1.542893,-2.99024,YELLOW,0,0,0,2,1
Johanna2,0.2222222,-1.542893,-2.99024,YELLOW,0,0,0,2,1
Johanna2,0.2333333,-1.570604,-2.995945,YELLOW,0,0,0,2,1
Johanna2,0.2444444,-1.58998,-3.075711,YELLOW,0,0,0,2,1
Johanna2,0.2555556,-1.58998,-3.075711,YELLOW,0,0,0,2,1
Johanna2,0.2666667,-1.594764,-3.117345,YELLOW,0,0,0,2,1
