Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time
Johanna2,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,-11.32422,-3.722395,117.8362,0,0,0.4777778,8.388935,1.133335
Johanna2,YES,NO,2,14.35568,3,4.355548,YES,YES,NO,-7.197937,-0.2970277,49.48021,12.32422,12.32422,1.700003,2.644443,0.01111111
Johanna2,YES,NO,3,18.98882,4,4.633329,YES,YES,NO,9.923698,0.4444205,38.88401,13.15911,25.48333,1.86667,0.9666679,1.800003
Johanna2,YES,NO,4,24.05512,5,5.066669,YES,YES,NO,6.850412,-0.9504233,44.45585,14.52065,40.00398,1.600003,3.455548,0.01111111
Johanna2,YES,NO,5,34.05474,6,10.00007,NO,NO,NO,11.72427,2.05074,120.8479,0,40.00398,0.2444444,8.066709,1.688892
Johanna2,YES,NO,6,44.05574,4,10.00007,NO,NO,YES,5.250542,-1.12754,179.2409,0,40.00398,1.288891,5.133336,3.577769
Johanna2,YES,NO,7,49.15624,1,5.100002,YES,YES,YES,-4.730398,-3.839046,113.4461,12.82146,52.82545,1.011112,2.866663,1.222224
Johanna2,YES,NO,8,55.5791,3,6.422242,YES,YES,YES,-6.186512,-1.147492,107.9996,11.57091,64.39636,0.2888889,6.133349,0
Johanna2,YES,NO,9,61.60192,5,6.022237,YES,YES,YES,3.268573,-2.838556,114.0187,11.3339,75.73027,0.900001,3.622213,1.500003
Johanna2,YES,NO,10,66.9681,3,5.366673,YES,YES,YES,-6.268463,0.6612223,53.25599,9.695682,85.42595,1.055557,2.888885,1.422225
Johanna2,YES,NO,11,68.47884,2,1.511114,YES,YES,YES,-7.930312,2.965265,11.38011,15.72145,101.1474,1.222224,0.2888889,0
Johanna2,YES,NO,12,69.70077,3,1.222224,YES,YES,NO,-6.556221,-0.5454069,9.612349,14.2114,115.3588,0.9333345,0.2888889,0
Johanna2,YES,NO,13,78.36532,4,8.666717,YES,YES,NO,9.955325,-0.4763766,155.6868,8.101308,123.4601,0.8000008,3.92221,3.944432
Johanna2,YES,NO,14,80.96468,5,2.599999,YES,YES,NO,2.982538,-1.486477,60.09165,12.10262,135.5627,1.000001,1.100002,0.5
Johanna2,YES,NO,15,90.96224,6,10.00007,NO,NO,NO,9.087317,2.913557,168.5883,0,135.5627,0,5.34445,4.655552
Johanna2,YES,NO,16,95.30563,1,4.344437,YES,YES,NO,-4.945924,-3.096716,78.44794,8.300745,143.8635,1.066668,1.800003,1.47778
Johanna2,YES,NO,17,97.44955,2,2.144447,YES,YES,NO,-6.152018,-2.971071,26.33092,14.88588,158.7494,0.3444445,1.800003,0
Johanna2,YES,NO,18,101.493,3,4.044433,YES,YES,NO,-7.447936,3.646418,46.36757,7.045041,165.7944,0.9333345,3.111106,0
Johanna2,YES,NO,19,105.5809,4,4.088878,YES,YES,NO,10.05632,-0.1373573,49.22582,11.9159,177.7103,0.5666668,1.566669,1.955559
Johanna2,YES,NO,20,110.8352,5,5.25556,YES,YES,NO,7.563524,-2.813349,73.63835,11.45385,189.1642,0.8777788,3.855544,0.5222223
Johanna2,YES,NO,21,120.8327,6,10.00007,NO,NO,NO,3.890942,-0.991739,124.6378,0,189.1642,0.7000005,7.933373,1.366669
Johanna2,YES,NO,22,126.8535,1,6.022237,YES,YES,NO,-4.13884,-5.695531,102.6963,11.93183,201.096,1.166668,3.455548,1.400002
Johanna2,YES,NO,23,128.8308,2,1.977782,YES,YES,NO,-7.753705,-2.583764,21.94262,16.90907,218.0051,0.4444444,1.533336,0
Johanna2,YES,NO,24,135.007,5,6.177794,YES,YES,YES,7.504207,-2.374014,110.8484,11.24907,229.2541,1.166668,3.322215,1.688892
Johanna2,YES,NO,25,145.0046,4,10.00007,NO,NO,YES,3.582431,-4.904306,209.3205,0,229.2541,0.3777778,5.022223,4.599996
