Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Johanna1,0.01111111,-2.001691,-2.253314,RED,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.02222222,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.03333334,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.04444445,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.05555556,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.06666667,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.07777778,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.08888889,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1111111,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1222222,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1333333,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1444445,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1555556,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1666667,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1777778,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.1888889,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2111111,-2.001691,-2.253314,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2222222,-2.025852,-2.23008,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2333333,-2.011121,-2.192849,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2444444,-2.037408,-2.179195,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2555556,-2.007119,-2.186768,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2666667,-2.007119,-2.186768,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2777778,-2.035016,-2.162009,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.2888889,-2.035016,-2.162009,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3,-1.999693,-2.16084,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3111111,-2.03086,-2.151576,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3222222,-2.03086,-2.151576,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3333333,-2.022794,-2.145057,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3444445,-2.022794,-2.145057,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3555556,-2.023356,-2.084001,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3666667,-2.023356,-2.084001,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3777778,-1.990873,-2.097214,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.3888889,-2.040234,-2.096697,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4,-2.040234,-2.096697,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4111111,-2.047662,-2.093983,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4222222,-2.052651,-2.073775,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4333333,-2.052651,-2.073775,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4444444,-2.052651,-2.073775,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4555556,-2.022767,-2.073108,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4666667,-1.986512,-2.040062,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4777778,-1.986512,-2.040062,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.4888889,-2.017823,-2.025952,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5,-1.955059,-2.042869,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5111111,-1.955059,-2.042869,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5222223,-1.929828,-2.038112,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5333334,-1.971301,-2.034802,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5444446,-1.971301,-2.034802,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5555557,-1.958416,-2.011739,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5666668,-1.958416,-2.011739,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.577778,-1.920721,-1.955762,YELLOW,-5.946564,-18.39365,42.46983,5,1
Johanna1,0.5888891,-1.920721,-1.955762,YELLOW,-5.946564,-18.39365,42.46983,5,1
