Time,Head X,Head Y,Head Z,Neck X,Neck Y,Neck Z,SpineShoulder X,SpineShoulder Y,SpineShoulder Z,SpineMid X,SpineMid Y,SpineMid Z,SpineBase X,SpineBase Y,SpineBase Z,RightShoulder X,RightShoulder Y,RightShoulder Z,LeftShoulder X,LeftShoulder Y,LeftShoulder Z,RightElbow X,RightElbow Y,RightElbow Z,LeftElbow X,LeftElbow Y,LeftElbow Z,RightWrist X,RightWrist Y,RightWrist Z,LeftWrist X,LeftWrist Y,LeftWrist Z,RightHand X,RightHand Y,RightHand Z,LeftHand X,LeftHand Y,LeftHand Z,RightThumb X,RightThumb Y,RightThumb Z,LeftThumb X,LeftThumb Y,LeftThumb Z,RightHandTip X,RightHandTip Y,RightHandTip Z,LeftHandTip X,LeftHandTip Y,LeftHandTip Z,RightHip X,RightHip Y,RightHip Z,LeftHip X,LeftHip Y,LeftHip Z,RightKnee X,RightKnee Y,RightKnee Z,LeftKnee X,LeftKnee Y,LeftKnee Z,RightAnkle X,RightAnkle Y,RightAnkle Z,LeftAnkle X,LeftAnkle Y,LeftAnkle Z,RightFoot X,RightFoot Y,RightFoot Z,LeftFoot X,LeftFoot Y,LeftFoot Z
0,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.01111111,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.02222222,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.03333334,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.04444445,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.05555556,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.06666667,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.07777778,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.08888889,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1111111,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1222222,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1333333,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1444445,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
0.1555556,0.0114583,1.395268,-0.5405371,0.01749638,1.272944,-0.5173026,0.02215626,1.178662,-0.4997487,0.02679664,1.084538,-0.4815164,0.02555348,0.989727,-0.4964399,0.2028397,1.238072,-0.5244117,-0.1520039,1.257427,-0.4403386,0.2801853,1.092796,-0.6726586,-0.1460717,1.333382,-0.2323479,0.276605,0.9539447,-0.5001125,-0.1401396,1.409337,-0.02435696,0.2906124,0.8877439,-0.4351845,-0.09194099,1.440671,0.04973406,0.264058,0.9249446,-0.4646293,-0.1061446,1.407825,0.008802354,0.3062181,0.8771989,-0.4452051,-0.1077973,1.451462,0.05907679,0.09932295,0.8091877,-0.5455946,-0.07601326,0.8233579,-0.5460191,0.07121582,0.8062934,-0.9294553,-0.1026521,0.8204079,-0.9299842,0.04386158,0.8034768,-1.303029,-0.1285771,0.8175368,-1.303659,0.03388805,0.8023648,-1.439069,-0.1380298,0.8164048,-1.439736
