Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
4,0.01111111,17.33559,-2.565664,RED,-0.05542147,1.09806,0.6116793,2,1
4,0.02222222,17.33559,-2.565664,RED,-0.05516016,1.098148,0.6114434,2,1
4,0.03333334,17.33559,-2.565664,RED,-0.0548929,1.098327,0.6111014,2,1
4,0.04444445,19.3078,-2.623537,RED,-0.05442846,1.098313,0.6108636,2,1
4,0.05555556,17.00835,-2.192052,RED,-0.05405354,1.098277,0.610531,2,1
4,0.06666667,15.85672,-2.25159,RED,-0.05365562,1.098239,0.6101421,2,1
4,0.07777778,18.77893,-3.403188,RED,-0.05315709,1.098121,0.6097339,2,1
4,0.08888889,18.77893,-3.403188,RED,-0.05277097,1.098006,0.6092848,2,1
4,0.1,16.64347,-2.77436,RED,-0.0523597,1.09797,0.6087201,2,1
4,0.1111111,16.64347,-2.77436,RED,-0.05199277,1.097918,0.6081719,2,1
4,0.1222222,17.67026,-2.679834,RED,-0.05155098,1.097875,0.6076217,2,1
4,0.1333333,18.59045,-2.884889,RED,-0.05109155,1.097787,0.6070535,2,1
4,0.1444445,18.18811,-2.41035,RED,-0.05076432,1.097749,0.6063024,2,1
4,0.1555556,18.18811,-2.41035,RED,-0.05023861,1.097532,0.6056455,2,1
4,0.1666667,18.07783,-2.178907,RED,-0.04961216,1.097481,0.6048466,2,1
4,0.1777778,17.95296,-2.734646,RED,-0.04915452,1.097375,0.6038584,2,1
4,0.1888889,17.95296,-2.734646,RED,-0.04861689,1.097267,0.6030272,2,1
4,0.2,19.46991,-1.880697,RED,-0.04798281,1.09711,0.6019944,2,1
4,0.2111111,18.5621,-2.601604,RED,-0.04731119,1.096961,0.6009066,2,1
4,0.2222222,18.5621,-2.601604,RED,-0.04659235,1.096696,0.5996268,2,1
4,0.2333333,18.61954,-2.540298,RED,-0.04583609,1.096615,0.5983323,2,1
4,0.2444444,18.61954,-2.540298,RED,-0.04513502,1.096469,0.5970336,2,1
4,0.2555556,18.61954,-2.540298,RED,-0.04444194,1.096592,0.5957299,2,1
4,0.2666667,18.46408,-2.354229,RED,-0.04373038,1.09643,0.5941242,2,1
4,0.2777778,17.31964,-2.466438,RED,-0.0429678,1.096377,0.5925292,2,1
4,0.2888889,18.52234,-2.686425,RED,-0.04215586,1.096282,0.5907925,2,1
4,0.3,18.52234,-2.686425,RED,-0.04132617,1.096234,0.5891151,2,1
4,0.3111111,19.78731,-2.484538,RED,-0.04045606,1.096191,0.5871669,2,1
4,0.3222222,17.80891,-2.559851,RED,-0.03953934,1.096066,0.5852444,2,1
4,0.3333333,17.80891,-2.559851,RED,-0.03848314,1.096112,0.5831903,2,1
4,0.3444445,18.5153,-3.272739,RED,-0.03742266,1.096048,0.5809392,2,1
4,0.3555556,17.25619,-1.526182,RED,-0.03638124,1.095995,0.5784535,2,1
4,0.3666667,19.32707,-2.430506,RED,-0.03516984,1.095933,0.5758523,2,1
4,0.3777778,19.32707,-2.430506,RED,-0.03387499,1.095888,0.573134,2,1
4,0.3888889,16.99054,-2.527104,RED,-0.03262162,1.096047,0.569909,2,1
4,0.4,17.75099,-1.667996,RED,-0.03143823,1.096045,0.5670117,2,1
4,0.4111111,17.75099,-1.667996,RED,-0.03000259,1.09613,0.5639739,2,1
4,0.4222222,18.95907,-1.81723,RED,-0.02862287,1.096432,0.5606909,2,1
4,0.4333333,18.95907,-1.81723,RED,-0.02730012,1.096693,0.55718,2,1
4,0.4444444,18.15868,-2.360081,RED,-0.0258528,1.097265,0.5534574,2,1
