Time,Head X,Head Y,Head Z,Neck X,Neck Y,Neck Z,SpineShoulder X,SpineShoulder Y,SpineShoulder Z,SpineMid X,SpineMid Y,SpineMid Z,SpineBase X,SpineBase Y,SpineBase Z,RightShoulder X,RightShoulder Y,RightShoulder Z,LeftShoulder X,LeftShoulder Y,LeftShoulder Z,RightElbow X,RightElbow Y,RightElbow Z,LeftElbow X,LeftElbow Y,LeftElbow Z,RightWrist X,RightWrist Y,RightWrist Z,LeftWrist X,LeftWrist Y,LeftWrist Z,RightHand X,RightHand Y,RightHand Z,LeftHand X,LeftHand Y,LeftHand Z,RightThumb X,RightThumb Y,RightThumb Z,LeftThumb X,LeftThumb Y,LeftThumb Z,RightHandTip X,RightHandTip Y,RightHandTip Z,LeftHandTip X,LeftHandTip Y,LeftHandTip Z,RightHip X,RightHip Y,RightHip Z,LeftHip X,LeftHip Y,LeftHip Z,RightKnee X,RightKnee Y,RightKnee Z,LeftKnee X,LeftKnee Y,LeftKnee Z,RightAnkle X,RightAnkle Y,RightAnkle Z,LeftAnkle X,LeftAnkle Y,LeftAnkle Z,RightFoot X,RightFoot Y,RightFoot Z,LeftFoot X,LeftFoot Y,LeftFoot Z
53.28444,0.04271803,1.745241,-0.4122252,0.04267542,1.595522,-0.4519261,0.0425858,1.476251,-0.4491824,0.04254471,1.357038,-0.4455764,0.0425153,1.238443,-0.432932,0.2708944,1.54235,-0.4645709,-0.1854903,1.54333,-0.4349964,0.3242981,1.272462,-0.4723491,-0.2167262,1.269914,-0.4305432,0.350003,1.064056,-0.2944223,-0.1813892,1.055627,-0.2614748,0.3875291,0.9940646,-0.2091531,-0.1835627,0.9766462,-0.1758289,0.3458463,1.034804,-0.2433103,-0.1591309,1.025023,-0.2161609,0.4039025,0.9791847,-0.2237551,-0.2011255,0.9600715,-0.1867629,0.1515688,1.013847,-0.4219961,-0.06665706,1.014842,-0.4096985,0.1682236,0.5403115,-0.3570729,-0.03971847,0.5394071,-0.3653828,0.1071077,0.08114523,-0.4025059,0.02744153,0.08109975,-0.4109554,0.1979393,0.005131602,-0.2812612,-0.03889649,0.005074024,-0.2747644
53.29556,0.04273963,1.745228,-0.4123451,0.04272069,1.595644,-0.452549,0.04264154,1.476372,-0.4498182,0.04261082,1.357159,-0.446225,0.042585,1.238584,-0.43339,0.2709486,1.542494,-0.4651303,-0.1854404,1.543429,-0.4356276,0.324281,1.272574,-0.4722607,-0.2165346,1.270009,-0.4304794,0.3499701,1.064084,-0.2944299,-0.1813313,1.055573,-0.2615716,0.3875055,0.9940873,-0.2091689,-0.1834869,0.9765936,-0.1759242,0.3458214,1.034834,-0.2433161,-0.1590654,1.024973,-0.2162584,0.403872,0.9792041,-0.2237749,-0.2010475,0.9600159,-0.1868569,0.151643,1.014006,-0.4221354,-0.06658448,1.015013,-0.4098668,0.1680912,0.5404456,-0.3573424,-0.03951465,0.5395562,-0.3658575,0.10706,0.08124512,-0.4025455,0.02740272,0.08116007,-0.4108906,0.1978801,0.005252182,-0.2812795,-0.03892943,0.005143464,-0.2746914
53.30667,0.04268149,1.745118,-0.4123325,0.0426915,1.595623,-0.4528655,0.04262687,1.47635,-0.4501429,0.04261064,1.357137,-0.446558,0.04259075,1.238576,-0.4335976,0.2709277,1.542501,-0.4654162,-0.1854627,1.543379,-0.4359419,0.3242427,1.272568,-0.4721473,-0.2167202,1.269982,-0.4305412,0.3498917,1.064065,-0.2943259,-0.1815739,1.055762,-0.2613479,0.3874103,0.994061,-0.2090639,-0.183742,0.9767751,-0.1757085,0.3457305,1.034805,-0.2432187,-0.1593149,1.02516,-0.2160336,0.4037848,0.9791831,-0.2236667,-0.2013001,0.9601976,-0.1866459,0.1516568,1.014012,-0.4221366,-0.06657106,1.015021,-0.4098762,0.1682569,0.5404821,-0.3571619,-0.03952432,0.5395687,-0.3658161,0.1070831,0.08132368,-0.4025962,0.02740403,0.08117515,-0.4108594,0.1978841,0.005306423,-0.2813311,-0.03893843,0.005161822,-0.2746634
53.31778,0.04264053,1.745042,-0.4123737,0.04264464,1.595556,-0.45294,0.04258318,1.476284,-0.4501894,0.04257016,1.357072,-0.4465765,0.04255456,1.238516,-0.4335715,0.2708816,1.542437,-0.4654894,-0.1855078,1.54331,-0.4359973,0.3242391,1.272512,-0.47221,-0.2166721,1.269902,-0.4306385,0.3498835,1.06408,-0.2943048,-0.1814665,1.055641,-0.2615095,0.3873826,0.9940817,-0.2090293,-0.1836146,0.9766666,-0.1758574,0.3457105,1.034823,-0.2431969,-0.1591991,1.025049,-0.2161917,0.4037613,0.9792035,-0.2236272,-0.2011702,0.9600842,-0.1867912,0.1516256,1.013957,-0.4220481,-0.06660184,1.014966,-0.4097797,0.1683381,0.5404444,-0.3569767,-0.03962421,0.5395234,-0.365566,0.1070578,0.08131647,-0.4025764,0.02739188,0.08116919,-0.4108781,0.1978958,0.00530237,-0.2813371,-0.03893157,0.005127072,-0.2746889
53.32889,0.04259482,1.74503,-0.4123256,0.04264106,1.595639,-0.4532412,0.04261537,1.476366,-0.4505764,0.04263799,1.357151,-0.4470494,0.04264428,1.238602,-0.4339775,0.2708983,1.542599,-0.4657574,-0.1854962,1.543312,-0.4363437,0.3242626,1.272663,-0.4719508,-0.2165973,1.269903,-0.4306926,0.3498899,1.064,-0.294313,-0.1814314,1.0556,-0.2616085,0.3873342,0.9939816,-0.2090303,-0.1835622,0.9766122,-0.1759678,0.3456866,1.034737,-0.2432114,-0.1591567,1.025005,-0.2162964,0.4037168,0.9791024,-0.2236227,-0.2011157,0.9600286,-0.1869033,0.15174,1.014063,-0.4223112,-0.06648924,1.015053,-0.4100735,0.1682956,0.5405582,-0.3571417,-0.03926053,0.5395818,-0.366322,0.1070248,0.08140558,-0.4025057,0.02745254,0.08110279,-0.4108101,0.1978722,0.005372703,-0.281285,-0.03892564,0.005094409,-0.2746288
53.34,0.04259723,1.745064,-0.4123546,0.04263655,1.595649,-0.4531804,0.04260856,1.476375,-0.45051,0.04262881,1.35716,-0.4469772,0.04263462,1.238608,-0.4339361,0.2708939,1.542604,-0.4656732,-0.1855032,1.543327,-0.4363013,0.3241467,1.272644,-0.4717987,-0.2167677,1.269935,-0.4306688,0.3497591,1.063887,-0.2942709,-0.1816373,1.055768,-0.2614054,0.3872402,0.9938979,-0.20898,-0.1837655,0.9767696,-0.1757751,0.3455747,1.034634,-0.2431614,-0.1593637,1.025173,-0.2160932,0.4036231,0.979019,-0.2235725,-0.2013133,0.9601835,-0.1867158,0.1517316,1.014068,-0.4223108,-0.06649864,1.015053,-0.4100897,0.1682551,0.540557,-0.3571766,-0.03927545,0.53958,-0.3663577,0.1070061,0.08139765,-0.4025002,0.02740987,0.08109087,-0.4107853,0.1978565,0.005385816,-0.2812687,-0.03893859,0.005080819,-0.2745905
53.35111,0.04254762,1.745066,-0.4123395,0.04256573,1.595526,-0.4527083,0.04252259,1.476254,-0.4499887,0.04252776,1.357041,-0.4464067,0.04252524,1.238474,-0.433498,0.270813,1.542447,-0.4652369,-0.1855816,1.54324,-0.435822,0.3241596,1.272519,-0.4719058,-0.2168303,1.269837,-0.4307547,0.349818,1.063871,-0.2942547,-0.1815734,1.055653,-0.2615384,0.3872909,0.9938793,-0.2089626,-0.183697,0.976657,-0.1759053,0.3456316,1.034623,-0.2431428,-0.1592979,1.02506,-0.2162253,0.403669,0.9789956,-0.2235557,-0.201244,0.9600695,-0.1868452,0.1516091,1.013915,-0.4221034,-0.06662016,1.014902,-0.4098657,0.1684838,0.5404545,-0.3566962,-0.03964328,0.5394658,-0.3655847,0.1070069,0.081375,-0.4025169,0.02736138,0.08109903,-0.4107873,0.197868,0.005377352,-0.2812846,-0.03897298,0.005078793,-0.2745912
53.36222,0.04253839,1.745085,-0.4122329,0.04260029,1.595662,-0.4530296,0.04259482,1.476388,-0.4503995,0.04263783,1.357171,-0.4469069,0.04265871,1.238614,-0.4339113,0.2708646,1.542663,-0.4655905,-0.1855258,1.543292,-0.4361156,0.324139,1.272706,-0.4716738,-0.2167235,1.269889,-0.430741,0.3497807,1.0639,-0.2942077,-0.1815685,1.05562,-0.2616115,0.38725,0.9939028,-0.2089179,-0.1837208,0.9766394,-0.1759649,0.3455926,1.03465,-0.243097,-0.1593074,1.025034,-0.2162869,0.4036275,0.9790193,-0.2235113,-0.201266,0.9600513,-0.1869067,0.1517695,1.014076,-0.42238,-0.06645734,1.015047,-0.410098,0.1682671,0.5405759,-0.3571591,-0.03934047,0.5395869,-0.3661599,0.1070332,0.08140665,-0.4024025,0.02737148,0.08111471,-0.4107226,0.1978894,0.005359173,-0.2811975,-0.03897492,0.005094767,-0.2745323
53.37333,0.04255109,1.745137,-0.412285,0.04259259,1.595669,-0.4529183,0.04257685,1.476395,-0.4502677,0.04260961,1.35718,-0.4467548,0.04262623,1.238617,-0.4338129,0.2708519,1.542649,-0.4654756,-0.1855385,1.543322,-0.4360027,0.3240654,1.27268,-0.4715538,-0.2168496,1.26993,-0.4306657,0.349718,1.063821,-0.29415,-0.1817417,1.055744,-0.2614214,0.3872182,0.9938586,-0.2088458,-0.183916,0.976759,-0.1757799,0.3455425,1.034579,-0.2430336,-0.159494,1.025159,-0.2160898,0.4036031,0.9789798,-0.223436,-0.2014544,0.9601687,-0.1867293,0.1517321,1.014071,-0.4223725,-0.06649455,1.015042,-0.4100881,0.168135,0.5405495,-0.3572848,-0.03935654,0.5395846,-0.3661377,0.1069978,0.0813517,-0.4023663,0.02738535,0.08111632,-0.4106917,0.1978557,0.005326509,-0.2811487,-0.03896632,0.005118847,-0.2744914
53.38445,0.04256486,1.745088,-0.4123756,0.04260175,1.595592,-0.4529087,0.04258579,1.47632,-0.450198,0.04261834,1.357106,-0.446625,0.04263592,1.238545,-0.4336688,0.2708601,1.542565,-0.4654588,-0.1855304,1.543254,-0.4359772,0.324132,1.272609,-0.4715878,-0.2167749,1.269853,-0.4307679,0.3498051,1.063794,-0.2941358,-0.1816431,1.055651,-0.2615483,0.3872846,0.9938138,-0.2088373,-0.1838424,0.976682,-0.1758922,0.345619,1.034546,-0.2430243,-0.1594089,1.025075,-0.2162035,0.4036691,0.9789348,-0.2234277,-0.2013768,0.9600892,-0.1868441,0.151742,1.014,-0.4222196,-0.06648459,1.014971,-0.4099323,0.1683623,0.540507,-0.3569774,-0.03943586,0.5395215,-0.3658409,0.1070499,0.08136094,-0.4023483,0.02740026,0.0810951,-0.4106866,0.1979018,0.005328119,-0.2811309,-0.03893857,0.005091667,-0.2744832
