Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Ali,0.01111111,-0.6157961,0.5499339,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.02222222,-0.7135162,0.4784807,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.03333334,-0.7135162,0.4784807,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.04444445,-0.7204737,0.4582375,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.05555556,-0.7096664,0.5098413,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.06666667,-0.7096664,0.5098413,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.07777778,-0.756385,0.5014342,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.08888889,-0.756385,0.5014342,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1,-0.707143,0.5592909,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1111111,-0.707143,0.5592909,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1222222,-0.707143,0.5592909,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1333333,-0.7475772,0.5356148,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1444445,-0.7475772,0.5356148,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1555556,-0.7369417,0.5231918,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1666667,-0.7343714,0.5682126,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1777778,-0.7343714,0.5682126,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.1888889,-0.7346275,0.5841079,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2,-0.7463576,0.587921,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2111111,-0.7463576,0.587921,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2222222,-0.7194214,0.585538,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2333333,-0.7588159,0.5368907,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2444444,-0.7588159,0.5368907,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2555556,-0.7703901,0.4910516,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2666667,-0.7781515,0.4734605,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2777778,-0.7781515,0.4734605,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.2888889,-0.7183437,0.4588829,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.3,-0.7481973,0.5028111,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.3111111,-0.7481973,0.5028111,RED,-5.946564,-18.39365,42.46983,2,1
Ali,0.3222222,-0.7275649,0.4920972,RED,-5.946564,-18.39365,42.46983,2,1
