Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Ariyah,0.01111111,1.098347,-0.3238728,RED,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.02222222,1.092827,-0.3659964,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.03333334,1.078442,-0.4302546,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.04444445,1.078442,-0.4302546,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.05555556,1.078442,-0.4302546,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.06666667,1.079698,-0.4776024,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.07777778,1.079698,-0.4776024,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.08888889,1.079698,-0.4776024,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1,1.09398,-0.4854012,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1111111,1.09398,-0.4854012,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1222222,1.10311,-0.5001017,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1333333,1.10311,-0.5001017,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1444445,1.055199,-0.5064889,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1555556,1.115182,-0.5126386,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1666667,1.115182,-0.5126386,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1777778,1.098143,-0.5236869,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.1888889,1.101951,-0.5024809,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2,1.101951,-0.5024809,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2111111,1.098966,-0.4847687,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2222222,1.098966,-0.4847687,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2333333,1.089388,-0.4653916,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2444444,1.089388,-0.4653916,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2555556,1.089388,-0.4653916,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2666667,1.094492,-0.4292405,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2777778,1.094492,-0.4292405,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.2888889,1.095202,-0.3970387,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.3,1.095202,-0.3970387,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.3111111,1.133306,-0.3453006,YELLOW,-5.946564,-18.39365,42.46983,2,1
Ariyah,0.3222222,1.127488,-0.3355366,YELLOW,-5.946564,-18.39365,42.46983,2,1
