Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Athena,0.01111111,0.2874093,-2.215852,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.02222222,0.4377934,-2.262599,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.03333334,0.4509647,-2.226372,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.04444445,0.3851564,-2.263106,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.05555556,0.3851564,-2.263106,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.06666667,0.464433,-2.262182,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.07777778,0.4358422,-2.298011,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.08888889,0.4358422,-2.298011,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1,0.432311,-2.287455,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1111111,0.4218863,-2.325905,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1222222,0.4218863,-2.325905,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1333333,0.4218863,-2.325905,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1444445,0.4377588,-2.32391,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1555556,0.4294456,-2.347769,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1666667,0.4294456,-2.347769,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1777778,0.4115844,-2.335586,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.1888889,0.430049,-2.347066,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2,0.430049,-2.347066,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2111111,0.4707973,-2.343687,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2222222,0.4707973,-2.343687,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2333333,0.4664567,-2.356993,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2444444,0.4357359,-2.310869,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2555556,0.4357359,-2.310869,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2666667,0.3848283,-2.278058,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2777778,0.3848283,-2.278058,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.2888889,0.4102684,-2.250631,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3,0.4102684,-2.250631,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3111111,0.4555322,-2.212001,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3222222,0.3821339,-2.230436,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3333333,0.3821339,-2.230436,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3444445,0.3654925,-2.173671,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3555556,0.3132182,-2.153426,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3666667,0.3132182,-2.153426,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3777778,0.3323007,-2.126273,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.3888889,0.2732214,-2.097608,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4,0.2732214,-2.097608,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4111111,0.2909811,-2.059002,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4222222,0.2982187,-2.017062,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4333333,0.3408885,-2.039755,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4444444,0.3408885,-2.039755,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4555556,0.2725189,-1.998272,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4666667,0.2823822,-1.997376,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4777778,0.2823822,-1.997376,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.4888889,0.3134763,-2.001496,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.5,0.3134763,-2.001496,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.5111111,0.3146873,-2.010057,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.5222223,0.3146873,-2.010057,RED,-5.946564,-18.39365,42.46983,2,1
Athena,0.5333334,0.2597039,-2.036332,RED,-5.946564,-18.39365,42.46983,2,1
