Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Calvin,0.01111111,-2.788067,-0.6729532,RED,-5.946564,-18.39365,42.46983,2,1
Calvin,0.02222222,-2.855206,-1.088907,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.03333334,-2.920871,-1.119701,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.04444445,-2.920871,-1.119701,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.05555556,-2.933101,-1.114297,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.06666667,-2.868431,-1.14565,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.07777778,-2.868431,-1.14565,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.08888889,-2.927129,-1.144867,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1,-2.98117,-1.13973,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1111111,-2.953056,-1.125299,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1222222,-2.953056,-1.125299,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1333333,-2.953056,-1.125299,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1444445,-2.901199,-1.114568,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1555556,-2.948137,-1.150429,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1666667,-2.929776,-1.12825,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1777778,-2.910038,-1.124467,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.1888889,-2.910038,-1.124467,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2,-3.013301,-1.146883,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2111111,-3.013301,-1.146883,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2222222,-2.984908,-1.153226,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2333333,-2.969752,-1.150217,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2444444,-2.947967,-1.178654,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2555556,-3.004969,-1.180246,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2666667,-3.004969,-1.180246,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2777778,-3.04266,-1.202431,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.2888889,-3.04266,-1.202431,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3,-3.04266,-1.202431,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3111111,-3.019729,-1.184326,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3222222,-3.019729,-1.184326,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3333333,-3.013535,-1.175649,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3444445,-3.026273,-1.14237,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3555556,-2.99056,-1.160988,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3666667,-2.99056,-1.160988,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3777778,-3.050297,-1.175618,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.3888889,-3.080889,-1.205265,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4,-3.080889,-1.205265,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4111111,-3.006083,-1.208811,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4222222,-3.007243,-1.260412,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4333333,-3.007243,-1.260412,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4444444,-2.975537,-1.25549,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4555556,-2.975537,-1.25549,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4666667,-2.9769,-1.222529,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4777778,-2.9769,-1.222529,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.4888889,-3.009924,-1.26127,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.5,-3.009924,-1.26127,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.5111111,-2.978593,-1.26101,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.5222223,-2.948529,-1.278492,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.5333334,-2.948529,-1.278492,YELLOW,-5.946564,-18.39365,42.46983,2,1
Calvin,0.5444446,-2.844636,-1.288688,YELLOW,-5.946564,-18.39365,42.46983,2,1
