Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Cornell,0.01111111,0.725324,-1.917371,RED,-5.946564,-18.39365,42.46983,5,1
Cornell,0.02222222,0.4502879,-1.60998,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.03333334,0.4190844,-1.573079,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.04444445,0.4190844,-1.573079,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.05555556,0.4276104,-1.528509,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.06666667,0.3991433,-1.493926,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.07777778,0.3991433,-1.493926,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.08888889,0.3344085,-1.466387,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1,0.3429224,-1.434557,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1111111,0.3429224,-1.434557,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1222222,0.2887136,-1.363383,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1333333,0.3509,-1.316727,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1444445,0.3187515,-1.268289,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1555556,0.3187515,-1.268289,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1666667,0.318102,-1.20013,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1777778,0.318102,-1.20013,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.1888889,0.2775354,-1.112759,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2,0.2856618,-1.046822,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2111111,0.2558255,-0.9695268,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2222222,0.2558255,-0.9695268,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2333333,0.2207694,-0.9341685,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2444444,0.2207694,-0.9341685,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2555556,0.2156697,-0.8475081,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2666667,0.2156697,-0.8475081,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2777778,0.2677659,-0.8072582,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.2888889,0.2677659,-0.8072582,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3,0.233246,-0.7382854,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3111111,0.2288257,-0.6631483,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3222222,0.2288257,-0.6631483,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3333333,0.2585525,-0.6307163,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3444445,0.2370359,-0.6184231,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3555556,0.2370359,-0.6184231,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3666667,0.2596622,-0.5472666,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3777778,0.2596622,-0.5472666,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.3888889,0.2812351,-0.5383544,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4,0.2812351,-0.5383544,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4111111,0.3118126,-0.5187644,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4222222,0.3326135,-0.509612,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4333333,0.3326135,-0.509612,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4444444,0.2852579,-0.5039775,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4555556,0.3446178,-0.4962172,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4666667,0.330192,-0.5045434,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4777778,0.3465402,-0.501695,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.4888889,0.3765575,-0.5583785,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5,0.3894234,-0.5975711,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5111111,0.3894234,-0.5975711,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5222223,0.410708,-0.6729779,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5333334,0.5041434,-0.75585,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5444446,0.4826817,-0.7685933,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5555557,0.4695451,-0.8214979,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5666668,0.4695451,-0.8214979,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.577778,0.5746295,-0.9498034,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.5888891,0.5746295,-0.9498034,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6000003,0.5457529,-0.9793102,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6111114,0.5457529,-0.9793102,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6222225,0.5457529,-0.9793102,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6333337,0.5490582,-1.038302,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6444448,0.5490582,-1.038302,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.655556,0.5726497,-1.104539,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6666671,0.5810824,-1.127201,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6777782,0.5810824,-1.127201,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.6888894,0.6242743,-1.167898,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7000005,0.6242743,-1.167898,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7111117,0.6198714,-1.288173,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7222228,0.6198714,-1.288173,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7333339,0.6229815,-1.323304,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7444451,0.6674737,-1.333285,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7555562,0.6674737,-1.333285,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7666674,0.7211261,-1.355044,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7777785,0.7078325,-1.378821,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.7888896,0.7078325,-1.378821,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8000008,0.8044041,-1.35885,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8111119,0.8044041,-1.35885,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8222231,0.8365471,-1.366975,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8333342,0.8931111,-1.352191,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8444453,0.891382,-1.43517,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8555565,0.9106372,-1.551602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8666676,0.9106372,-1.551602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8777788,1.00026,-1.669294,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.8888899,1.00026,-1.669294,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.900001,1.000412,-1.772032,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9111122,1.073449,-1.90351,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9222233,1.15643,-2.034666,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9333345,1.298678,-2.098676,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9444456,1.298678,-2.098676,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9555568,1.611873,-2.109638,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9666679,1.611873,-2.109638,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.977779,1.98069,-2.119989,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,0.9888902,2.205744,-1.991131,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.000001,2.205744,-1.991131,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.011112,2.320984,-1.908404,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.022224,2.332629,-1.847835,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.033335,2.332629,-1.847835,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.044446,2.318822,-1.7783,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.055557,2.318822,-1.7783,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.066668,2.217782,-1.813849,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.077779,2.225337,-1.898626,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.08889,2.18423,-1.967803,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.100002,2.130603,-2.083131,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.111113,2.130603,-2.083131,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.122224,2.10678,-2.199971,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.133335,2.126623,-2.342032,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.144446,2.06008,-2.56893,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.155557,2.06008,-2.56893,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.166668,1.958038,-2.771285,GREEN,-5.946564,-18.39365,42.46983,5,1
Cornell,1.17778,1.831443,-2.997684,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.188891,1.831443,-2.997684,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.200002,1.721296,-3.238719,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.211113,1.601162,-3.453004,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.222224,1.601162,-3.453004,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.233335,1.4486,-3.641542,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.244446,1.4486,-3.641542,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.255558,1.328913,-3.934014,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.266669,1.328913,-3.934014,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.27778,1.226592,-4.036896,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.288891,1.226592,-4.036896,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.300002,1.172162,-4.126147,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.311113,1.172162,-4.126147,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.322224,1.139234,-4.141809,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.333336,1.139234,-4.141809,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.344447,1.139654,-4.122564,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.355558,1.139654,-4.122564,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.366669,1.097261,-4.114308,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.37778,1.081023,-4.075285,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.388891,1.137616,-3.993993,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.400002,1.137616,-3.993993,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.411114,1.139616,-3.889502,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.422225,1.156295,-3.784613,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.433336,1.156295,-3.784613,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.444447,1.156295,-3.784613,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.455558,1.249247,-3.72544,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.466669,1.249247,-3.72544,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.47778,1.249247,-3.72544,YELLOW,-5.946564,-18.39365,42.46983,5,1
Cornell,1.488891,1.208849,-3.511438,YELLOW,-5.946564,-18.39365,42.46983,5,1
