Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Jacob,0.01111111,0.9291298,-3.859508,RED,-5.946564,-18.39365,42.46983,3,1
Jacob,0.02222222,1.021435,-3.992896,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.03333334,0.9913258,-4.041404,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.04444445,0.9913258,-4.041404,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.05555556,0.9913258,-4.041404,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.06666667,1.054768,-4.045384,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.07777778,1.051632,-4.061099,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.08888889,1.051632,-4.061099,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1,1.065031,-4.086067,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1111111,1.065031,-4.086067,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1222222,1.076941,-4.094822,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1333333,1.097743,-4.13209,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1444445,1.138527,-4.125679,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1555556,1.118885,-4.12242,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1666667,1.118885,-4.12242,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1777778,1.145404,-4.133635,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.1888889,1.145404,-4.133635,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.2,1.198216,-4.136362,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.2111111,1.191695,-4.180182,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.2222222,1.191695,-4.180182,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.2333333,1.238841,-4.211917,YELLOW,-5.946564,-18.39365,42.46983,3,1
Jacob,0.2444444,1.270354,-4.193018,YELLOW,-5.946564,-18.39365,42.46983,3,1
