Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Josephine,0.01111111,3.092309,0.09272949,RED,-5.946564,-18.39365,42.46983,2,1
Josephine,0.02222222,3.321651,-0.2298048,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.03333334,3.355385,-0.2523274,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.04444445,3.355385,-0.2523274,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.05555556,3.404343,-0.3203512,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.06666667,3.404343,-0.3203512,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.07777778,3.404343,-0.3203512,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.08888889,3.437232,-0.3791253,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1,3.437232,-0.3791253,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1111111,3.479686,-0.3710086,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1222222,3.479686,-0.3710086,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1333333,3.468225,-0.4025469,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1444445,3.501361,-0.4611911,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1555556,3.501361,-0.4611911,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1666667,3.577399,-0.491703,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1777778,3.564079,-0.5160881,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.1888889,3.564079,-0.5160881,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2,3.588878,-0.5555372,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2111111,3.588878,-0.5555372,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2222222,3.588878,-0.5555372,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2333333,3.665496,-0.5824223,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2444444,3.665496,-0.5824223,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2555556,3.679137,-0.6930435,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2666667,3.679137,-0.6930435,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2777778,3.704136,-0.697404,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.2888889,3.704136,-0.697404,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3,3.71768,-0.7348431,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3111111,3.72898,-0.7492669,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3222222,3.764036,-0.7940113,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3333333,3.764036,-0.7940113,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3444445,3.808967,-0.8216814,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3555556,3.805468,-0.8167107,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3666667,3.805468,-0.8167107,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3777778,3.805468,-0.8167107,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.3888889,3.835172,-0.877687,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.4,3.835172,-0.877687,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.4111111,3.896785,-0.8796851,YELLOW,-5.946564,-18.39365,42.46983,2,1
Josephine,0.4222222,3.889051,-0.8748292,YELLOW,-5.946564,-18.39365,42.46983,2,1
