Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Maribel,0.01111111,1.706559,-0.5428534,RED,-5.946564,-18.39365,42.46983,5,1
Maribel,0.02222222,1.680113,-0.3815337,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.03333334,1.652831,-0.3273453,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.04444445,1.706829,-0.3137156,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.05555556,1.774384,-0.2989009,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.06666667,1.76806,-0.2152389,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.07777778,1.800767,-0.2522379,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.08888889,1.800767,-0.2522379,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1,1.791197,-0.1887439,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1111111,1.791197,-0.1887439,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1222222,1.782394,-0.1811287,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1333333,1.817271,-0.1462478,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1444445,1.817271,-0.1462478,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1555556,1.882929,-0.1184179,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1666667,1.861762,-0.1537988,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1777778,1.861762,-0.1537988,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.1888889,1.878127,-0.1016765,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2,1.899262,-0.07666255,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2111111,1.914573,-0.06901283,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2222222,1.914573,-0.06901283,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2333333,1.940006,-0.07888841,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2444444,1.965687,-0.02445598,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2555556,1.965687,-0.02445598,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2666667,1.969917,-0.002068394,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2777778,1.939822,0.0294524,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.2888889,1.939822,0.0294524,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3,1.925135,0.01972465,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3111111,1.993964,0.03760054,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3222222,1.993964,0.03760054,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3333333,1.973375,0.03488569,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3444445,1.965131,0.06911895,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3555556,1.965131,0.06911895,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3666667,1.936673,0.07134981,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3777778,1.936673,0.07134981,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.3888889,1.944605,0.115392,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4,1.946316,0.1374665,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4111111,1.946316,0.1374665,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4222222,1.983082,0.1211559,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4333333,1.947307,0.166769,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4444444,1.955164,0.180181,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4555556,1.930442,0.2066467,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4666667,1.930442,0.2066467,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4777778,1.934999,0.2201468,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.4888889,1.929888,0.2175419,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5,1.879293,0.3080683,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5111111,1.879293,0.3080683,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5222223,1.88836,0.312947,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5333334,1.88836,0.312947,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5444446,1.868343,0.3062964,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5555557,1.832148,0.3690452,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5666668,1.814225,0.3594387,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.577778,1.814225,0.3594387,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.5888891,1.814225,0.3594387,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6000003,1.72211,0.4193749,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6111114,1.762174,0.4502492,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6222225,1.670628,0.4668627,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6333337,1.670628,0.4668627,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6444448,1.685031,0.5221292,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.655556,1.685031,0.5221292,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6666671,1.596639,0.5898319,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6777782,1.596639,0.5898319,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.6888894,1.649632,0.5890864,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7000005,1.592117,0.5961616,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7111117,1.592117,0.5961616,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7222228,1.617164,0.5957763,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7333339,1.540962,0.5925825,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7444451,1.540962,0.5925825,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7555562,1.5919,0.5375723,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7666674,1.5919,0.5375723,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7777785,1.519098,0.5132868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.7888896,1.519098,0.5132868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8000008,1.542538,0.5133525,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8111119,1.608128,0.4444161,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8222231,1.608128,0.4444161,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8333342,1.525344,0.4430996,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8444453,1.525344,0.4430996,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8555565,1.485697,0.3918076,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8666676,1.485697,0.3918076,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8777788,1.445157,0.3792602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.8888899,1.445157,0.3792602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.900001,1.460904,0.3482506,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9111122,1.475839,0.3186524,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9222233,1.475839,0.3186524,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9333345,1.443253,0.3091159,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9444456,1.443507,0.3206083,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9555568,1.443507,0.3206083,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9666679,1.486016,0.3274106,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.977779,1.486016,0.3274106,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,0.9888902,1.431112,0.3024351,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.000001,1.36555,0.2521504,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.011112,1.36555,0.2521504,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.022224,1.427087,0.2508344,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.033335,1.318103,0.2414104,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.044446,1.318103,0.2414104,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.055557,1.29541,0.2273168,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.066668,1.29541,0.2273168,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.077779,1.245098,0.1622157,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.08889,1.245098,0.1622157,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.100002,1.246179,0.1691847,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.111113,1.211098,0.1415888,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.122224,1.211098,0.1415888,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.133335,1.151354,0.08430824,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.144446,1.151354,0.08430824,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.155557,1.198936,0.03843295,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.166668,1.137326,0.03512993,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.17778,1.102046,-0.0288602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.188891,1.102046,-0.0288602,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.200002,1.099512,-0.02641728,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.211113,1.132335,-0.09473457,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.222224,1.132335,-0.09473457,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.233335,1.062793,-0.1009078,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.244446,1.072459,-0.1302303,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.255558,1.072459,-0.1302303,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.266669,1.056396,-0.1922939,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.27778,0.9929445,-0.2689543,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.288891,0.9929445,-0.2689543,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.300002,0.9924464,-0.3333399,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.311113,0.9008784,-0.4247721,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.322224,0.8964685,-0.5378796,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.333336,0.8964685,-0.5378796,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.344447,0.8964685,-0.5378796,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.355558,0.85217,-0.7638147,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.366669,0.85217,-0.7638147,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.37778,0.8153655,-0.7987353,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.388891,0.8319645,-0.8837776,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.400002,0.8319645,-0.8837776,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.411114,0.8142675,-0.9184337,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.422225,0.8492787,-0.9983923,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.433336,0.8830563,-1.007534,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.444447,0.8830563,-1.007534,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.455558,0.8903618,-1.005792,YELLOW,-5.946564,-18.39365,42.46983,5,1
Maribel,1.466669,0.8903618,-1.005792,YELLOW,-5.946564,-18.39365,42.46983,5,1
