Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Nora,0.01111111,-1.841514,-4.629903,RED,-5.946564,-18.39365,42.46983,2,1
Nora,0.02222222,-1.897604,-4.585311,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.03333334,-1.925008,-4.569518,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.04444445,-1.925008,-4.569518,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.05555556,-1.880506,-4.606564,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.06666667,-1.880506,-4.606564,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.07777778,-1.889078,-4.568459,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.08888889,-1.848113,-4.573341,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1,-1.848113,-4.573341,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1111111,-1.927066,-4.579507,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1222222,-1.927066,-4.579507,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1333333,-1.832506,-4.581417,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1444445,-1.870645,-4.595398,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1555556,-1.863976,-4.620334,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1666667,-1.863976,-4.620334,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1777778,-1.871615,-4.61398,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.1888889,-1.83395,-4.612106,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2,-1.83395,-4.612106,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2111111,-1.895365,-4.62084,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2222222,-1.882364,-4.643556,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2333333,-1.882364,-4.643556,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2444444,-1.882364,-4.643556,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2555556,-1.885579,-4.609755,YELLOW,-5.946564,-18.39365,42.46983,2,1
Nora,0.2666667,-1.9239,-4.671154,YELLOW,-5.946564,-18.39365,42.46983,2,1
