Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
2,0.01111111,2.750652,-1.323732,RED,-5.946564,-18.39365,42.46983,2,1
2,0.02222222,3.004299,-3.666577,RED,-0.03072298,1.219556,-0.07993376,2,1
2,0.03333334,2.157187,-2.918157,RED,-0.03072298,1.219556,-0.07993376,2,1
2,0.04444445,2.157187,-2.918157,RED,-0.03026795,1.218293,-0.0782162,2,1
2,0.05555556,2.157187,-2.918157,RED,-0.03012276,1.217476,-0.07727671,2,1
2,0.06666667,1.971338,-2.544789,RED,-0.03022873,1.216646,-0.07644784,2,1
2,0.07777778,1.81927,-2.139714,RED,-0.03045344,1.21581,-0.07569361,2,1
2,0.08888889,1.81927,-2.139714,RED,-0.0306915,1.214749,-0.07484317,2,1
2,0.1,1.749103,-1.736801,RED,-0.03093898,1.213653,-0.07395005,2,1
2,0.1111111,1.749103,-1.736801,RED,-0.03127348,1.212635,-0.07312572,2,1
2,0.1222222,1.562381,-1.065173,RED,-0.03164268,1.21162,-0.07202995,2,1
2,0.1333333,1.562381,-1.065173,RED,-0.03195393,1.210639,-0.07103372,2,1
2,0.1444445,1.478858,-0.8210392,RED,-0.03216696,1.209743,-0.07004881,2,1
2,0.1555556,1.35182,-0.7361891,RED,-0.0327158,1.208809,-0.06901801,2,1
2,0.1666667,1.35182,-0.7361891,RED,-0.03322577,1.20793,-0.06807029,2,1
2,0.1777778,1.26834,-0.7756312,RED,-0.03381813,1.207251,-0.06728685,2,1
2,0.1888889,1.26834,-0.7756312,RED,-0.03449166,1.206475,-0.06651819,2,1
2,0.2,1.186892,-0.8639393,RED,-0.03449166,1.206475,-0.06651819,2,1
2,0.2111111,1.186892,-0.8639393,RED,-0.03583217,1.205471,-0.06492138,2,1
2,0.2222222,1.118388,-0.9278957,RED,-0.0364275,1.205249,-0.06433177,2,1
2,0.2333333,1.093339,-1.04365,RED,-0.03695405,1.205064,-0.06366205,2,1
2,0.2444444,1.093339,-1.04365,RED,-0.03735411,1.204961,-0.06324255,2,1
2,0.2555556,1.122115,-1.031524,RED,-0.03776479,1.204642,-0.06265819,2,1
2,0.2666667,1.122115,-1.031524,RED,-0.03776479,1.204642,-0.06265819,2,1
2,0.2777778,1.122115,-1.031524,RED,-0.03841984,1.204171,-0.06195319,2,1
2,0.2888889,1.181071,-0.9272373,RED,-0.03862524,1.203802,-0.06164408,2,1
2,0.3,1.181071,-0.9272373,RED,-0.03882325,1.203434,-0.06122971,2,1
2,0.3111111,1.195234,-0.830052,RED,-0.03909612,1.20306,-0.06103182,2,1
2,0.3222222,1.20472,-0.6995274,RED,-0.03928125,1.202692,-0.06054592,2,1
2,0.3333333,1.203653,-0.5790023,RED,-0.03928125,1.202692,-0.06054592,2,1
2,0.3444445,1.203653,-0.5790023,RED,-0.03935504,1.202251,-0.06010044,2,1
2,0.3555556,1.203653,-0.5790023,RED,-0.03941286,1.201893,-0.0597862,2,1
2,0.3666667,1.217954,-0.4946192,RED,-0.0393672,1.201598,-0.05937517,2,1
2,0.3777778,1.1335,-0.4427291,RED,-0.03898787,1.20123,-0.05880702,2,1
2,0.3888889,1.09423,-0.4607705,RED,-0.03885722,1.20108,-0.05847895,2,1
2,0.4,1.04317,-0.5185858,RED,-0.03885722,1.20108,-0.05847895,2,1
2,0.4111111,1.04317,-0.5185858,RED,-0.03868568,1.200893,-0.05807531,2,1
2,0.4222222,1.04317,-0.5185858,RED,-0.03830433,1.2008,-0.05780542,2,1
2,0.4333333,1.024942,-0.5755829,RED,-0.03801882,1.200608,-0.05740523,2,1
2,0.4444444,0.975465,-0.6433748,RED,-0.03754997,1.200567,-0.05699587,2,1
2,0.4555556,0.9551069,-0.6702871,RED,-0.03696334,1.200625,-0.05683708,2,1
2,0.4666667,0.9551069,-0.6702871,RED,-0.03622663,1.200574,-0.05673039,2,1
2,0.4777778,0.9832429,-0.6282152,RED,-0.03526568,1.200639,-0.05678356,2,1
2,0.4888889,0.988842,-0.5537362,RED,-0.03451622,1.20054,-0.05678034,2,1
2,0.5,0.988842,-0.5537362,RED,-0.03376615,1.200252,-0.05693769,2,1
2,0.5111111,1.093758,-0.4955221,RED,-0.03304529,1.199957,-0.05713654,2,1
2,0.5222223,1.126067,-0.40503,RED,-0.03244781,1.199738,-0.05764353,2,1
2,0.5333334,1.126067,-0.40503,RED,-0.03200924,1.199459,-0.05772996,2,1
2,0.5444446,1.158141,-0.2593017,RED,-0.03154445,1.199213,-0.05796516,2,1
2,0.5555557,1.158141,-0.2593017,RED,-0.03140271,1.199094,-0.05829704,2,1
2,0.5666668,1.296523,-0.1056565,RED,-0.0311892,1.198907,-0.05854523,2,1
