Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time
Christian,YES,NO,1,10.00007,6,10.00007,YES,NO,YES,5.819707,-1.063337,48.69007,0,0,1.888893,7.933373,0.1777778
Christian,YES,NO,2,13.93345,3,3.933321,YES,YES,YES,-5.325881,3.600361,40.74451,10.62131,10.62131,0.2,1.08889,2.644443
Christian,YES,NO,3,15.47792,2,1.544447,YES,YES,YES,-10.93352,-2.859306,55.18904,14.27471,24.89602,0.3555556,0.8555565,0.3333333
Christian,YES,NO,4,17.72224,4,2.244446,YES,YES,YES,9.242101,1.847423,58.12144,11.55129,36.4473,0,0.6444448,1.600003
Christian,YES,NO,5,19.62211,1,1.900004,YES,YES,YES,-4.884481,0.5079994,40.65803,12.72774,49.17504,0.07777778,1.644447,0.1777778
Christian,YES,NO,6,21.42198,2,1.800003,YES,YES,NO,-6.329249,-0.007847041,52.97065,17.46523,66.64027,0.04444445,1.700003,0.05555556
Christian,YES,NO,7,22.8441,3,1.422225,YES,YES,NO,-4.863689,5.776421,46.62545,14.80019,81.44047,0.3111111,0.8666676,0.2444444
Christian,YES,NO,8,24.54397,4,1.700003,YES,YES,NO,11.32922,2.549379,42.26211,17.0236,98.46407,0.01111111,0.5,1.188891
Christian,YES,NO,9,26.06608,5,1.522225,YES,YES,NO,5.162421,-0.7684458,30.56019,13.94258,112.4066,0.7222228,0.7888896,0.01111111
Christian,YES,NO,10,27.27711,6,1.211113,YES,YES,NO,7.93686,0.8276953,35.86351,13.08899,125.4956,0.4111111,0.8000008,0
Christian,YES,NO,11,37.06615,1,9.788954,YES,YES,NO,-0.4861826,0.2967016,349.8937,8.236851,133.7325,1.222224,7.344477,1.222224
Christian,YES,NO,12,38.35517,2,1.288891,YES,YES,NO,-8.066915,-0.1750848,34.93207,15.38456,149.117,0.6666671,0.6222225,0
Christian,YES,NO,13,39.51084,3,1.155557,YES,YES,NO,-4.016687,2.376118,20.5052,17.51568,166.6327,0.1111111,0.8000008,0.2444444
Christian,YES,NO,14,41.16656,4,1.655559,YES,YES,NO,6.336092,4.503055,40.78332,14.6972,181.3299,0.02222222,0.8333342,0.8000008
Christian,YES,NO,15,43.07786,5,1.911115,YES,YES,NO,7.763448,0.8609573,46.57492,16.10858,197.4385,0.1555556,1.755559,0
Christian,YES,NO,16,45.26697,6,2.188891,YES,YES,NO,9.333343,-4.807955,65.33665,9.186231,206.6247,0.1,1.533336,0.5555557
Christian,YES,NO,17,49.32293,1,4.055544,YES,YES,NO,-0.355716,0.4117556,94.06615,13.03129,219.656,1.200002,2.311112,0.5444446
Christian,YES,NO,18,50.9342,2,1.611114,YES,YES,NO,-9.184096,2.783753,43.63969,17.03379,236.6898,0.1,1.266669,0.2444444
Christian,YES,NO,19,51.97874,3,1.044446,YES,YES,NO,-4.715267,5.2479,43.63804,12.73068,249.4205,0.2333333,0.5,0.3111111
Christian,YES,NO,20,57.15704,4,5.177781,YES,YES,NO,6.462739,3.974991,156.5477,8.317548,257.738,0.6777782,2.244446,2.255557
Christian,YES,NO,21,59.035,5,1.877781,YES,YES,NO,5.604448,-1.211398,45.37888,16.12136,273.8594,0.6222225,1.255558,0
Christian,YES,NO,22,60.19067,6,1.155557,YES,YES,NO,9.097966,-1.335282,34.28133,9.383379,283.2428,0.2777778,0.8777788,0
Christian,YES,NO,23,61.5797,1,1.388891,YES,YES,NO,-3.703942,-1.789077,46.46548,14.86349,298.1063,0.3444445,0.5444446,0.5
Christian,YES,NO,24,64.36874,5,2.788886,YES,YES,YES,3.610753,-1.272612,76.43668,13.55148,311.6578,0.1,1.255558,1.433336
Christian,YES,NO,25,67.15694,1,2.788886,YES,YES,YES,-0.3864749,0.1263885,95.39075,12.64235,324.3001,0.1222222,1.211113,1.455558
