Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Johanna,0.01111111,-0.9392576,-1.438991,RED,0,0,0,2,1
Johanna,0.02222222,-0.5111129,-1.42099,YELLOW,0,0,0,2,1
Johanna,0.03333334,-0.5548266,-1.618943,YELLOW,0,0,0,2,1
Johanna,0.04444445,-0.5548266,-1.618943,YELLOW,0,0,0,2,1
Johanna,0.05555556,-0.5548266,-1.618943,YELLOW,0,0,0,2,1
Johanna,0.06666667,-0.5548266,-1.618943,YELLOW,0,0,0,2,1
Johanna,0.07777778,-0.5927848,-1.664717,YELLOW,0,0,0,2,1
Johanna,0.08888889,-0.5390865,-1.661901,YELLOW,0,0,0,2,1
Johanna,0.1,-0.5390865,-1.661901,YELLOW,0,0,0,2,1
Johanna,0.1111111,-0.5499105,-1.6878,YELLOW,0,0,0,2,1
Johanna,0.1222222,-0.5499105,-1.6878,YELLOW,0,0,0,2,1
Johanna,0.1333333,-0.6127515,-1.762753,YELLOW,0,0,0,2,1
Johanna,0.1444445,-0.6127515,-1.762753,YELLOW,0,0,0,2,1
Johanna,0.1555556,-0.6127515,-1.762753,YELLOW,0,0,0,2,1
Johanna,0.1666667,-0.6036115,-1.783114,YELLOW,0,0,0,2,1
Johanna,0.1777778,-0.5952005,-1.831527,YELLOW,0,0,0,2,1
Johanna,0.1888889,-0.6190038,-1.822047,YELLOW,0,0,0,2,1
Johanna,0.2,-0.6190038,-1.822047,YELLOW,0,0,0,2,1
Johanna,0.2111111,-0.5966104,-1.846912,YELLOW,0,0,0,2,1
Johanna,0.2222222,-0.5788093,-1.825283,YELLOW,0,0,0,2,1
Johanna,0.2333333,-0.5788093,-1.825283,YELLOW,0,0,0,2,1
Johanna,0.2444444,-0.6103362,-1.869397,YELLOW,0,0,0,2,1
Johanna,0.2555556,-0.611292,-1.901142,YELLOW,0,0,0,2,1
Johanna,0.2666667,-0.6019008,-1.923897,YELLOW,0,0,0,2,1
Johanna,0.2777778,-0.6019008,-1.923897,YELLOW,0,0,0,2,1
Johanna,0.2888889,-0.604373,-1.96472,YELLOW,0,0,0,2,1
Johanna,0.3,-0.604373,-1.96472,YELLOW,0,0,0,2,1
Johanna,0.3111111,-0.5648519,-1.977607,YELLOW,0,0,0,2,1
Johanna,0.3222222,-0.577074,-1.956514,YELLOW,0,0,0,2,1
Johanna,0.3333333,-0.577074,-1.956514,YELLOW,0,0,0,2,1
Johanna,0.3444445,-0.5756042,-1.920327,YELLOW,0,0,0,2,1
Johanna,0.3555556,-0.5888786,-1.922444,YELLOW,0,0,0,2,1
Johanna,0.3666667,-0.5143207,-1.892131,YELLOW,0,0,0,2,1
Johanna,0.3777778,-0.5143207,-1.892131,YELLOW,0,0,0,2,1
Johanna,0.3888889,-0.5350245,-1.845231,YELLOW,0,0,0,2,1
Johanna,0.4,-0.5350245,-1.845231,YELLOW,0,0,0,2,1
Johanna,0.4111111,-0.5350245,-1.845231,YELLOW,0,0,0,2,1
Johanna,0.4222222,-0.5077671,-1.822151,YELLOW,0,0,0,2,1
Johanna,0.4333333,-0.4769166,-1.814366,YELLOW,0,0,0,2,1
Johanna,0.4444444,-0.4623159,-1.773518,YELLOW,0,0,0,2,1
Johanna,0.4555556,-0.4903431,-1.725194,YELLOW,0,0,0,2,1
Johanna,0.4666667,-0.4903431,-1.725194,YELLOW,0,0,0,2,1
Johanna,0.4777778,-0.4946839,-1.735109,YELLOW,0,0,0,2,1
Johanna,0.4888889,-0.4946839,-1.735109,YELLOW,0,0,0,2,1
Johanna,0.5,-0.4879588,-1.737268,YELLOW,0,0,0,2,1
Johanna,0.5111111,-0.4879588,-1.737268,YELLOW,0,0,0,2,1
Johanna,0.5222223,-0.4441091,-1.732065,YELLOW,0,0,0,2,1
Johanna,0.5333334,-0.5014324,-1.737862,YELLOW,0,0,0,2,1
Johanna,0.5444446,-0.5014324,-1.737862,YELLOW,0,0,0,2,1
Johanna,0.5555557,-0.4719961,-1.769446,YELLOW,0,0,0,2,1
Johanna,0.5666668,-0.4964627,-1.787121,YELLOW,0,0,0,2,1
Johanna,0.577778,-0.5359258,-1.783263,YELLOW,0,0,0,2,1
Johanna,0.5888891,-0.5359258,-1.783263,YELLOW,0,0,0,2,1
Johanna,0.6000003,-0.5313468,-1.828773,YELLOW,0,0,0,2,1
Johanna,0.6111114,-0.5313468,-1.828773,YELLOW,0,0,0,2,1
Johanna,0.6222225,-0.5854935,-1.828419,YELLOW,0,0,0,2,1
Johanna,0.6333337,-0.5458964,-1.849864,YELLOW,0,0,0,2,1
Johanna,0.6444448,-0.5458964,-1.849864,YELLOW,0,0,0,2,1
Johanna,0.655556,-0.5477957,-1.921511,YELLOW,0,0,0,2,1
Johanna,0.6666671,-0.5477957,-1.921511,YELLOW,0,0,0,2,1
Johanna,0.6777782,-0.5538763,-1.915605,YELLOW,0,0,0,2,1
Johanna,0.6888894,-0.5087245,-1.955868,YELLOW,0,0,0,2,1
Johanna,0.7000005,-0.5087245,-1.955868,YELLOW,0,0,0,2,1
Johanna,0.7111117,-0.5694949,-2.008621,YELLOW,0,0,0,2,1
Johanna,0.7222228,-0.5694949,-2.008621,YELLOW,0,0,0,2,1
Johanna,0.7333339,-0.6167708,-2.086596,YELLOW,0,0,0,2,1
Johanna,0.7444451,-0.699128,-2.16768,YELLOW,0,0,0,2,1
Johanna,0.7555562,-0.699128,-2.16768,YELLOW,0,0,0,2,1
Johanna,0.7666674,-0.6574294,-2.268661,YELLOW,0,0,0,2,1
Johanna,0.7777785,-0.6901826,-2.326903,YELLOW,0,0,0,2,1
Johanna,0.7888896,-0.666283,-2.338541,YELLOW,0,0,0,2,1
Johanna,0.8000008,-0.666283,-2.338541,YELLOW,0,0,0,2,1
Johanna,0.8111119,-0.7245505,-2.366967,YELLOW,0,0,0,2,1
Johanna,0.8222231,-0.6889536,-2.395177,YELLOW,0,0,0,2,1
Johanna,0.8333342,-0.6889536,-2.395177,YELLOW,0,0,0,2,1
Johanna,0.8444453,-0.6717843,-2.421357,YELLOW,0,0,0,2,1
Johanna,0.8555565,-0.7168903,-2.454034,YELLOW,0,0,0,2,1
Johanna,0.8666676,-0.7168903,-2.454034,YELLOW,0,0,0,2,1
Johanna,0.8777788,-0.6948435,-2.483027,YELLOW,0,0,0,2,1
Johanna,0.8888899,-0.6959428,-2.511581,YELLOW,0,0,0,2,1
Johanna,0.900001,-0.731311,-2.555866,YELLOW,0,0,0,2,1
Johanna,0.9111122,-0.731311,-2.555866,YELLOW,0,0,0,2,1
Johanna,0.9222233,-0.6935911,-2.591032,YELLOW,0,0,0,2,1
Johanna,0.9333345,-0.7279176,-2.603932,YELLOW,0,0,0,2,1
Johanna,0.9444456,-0.7279176,-2.603932,YELLOW,0,0,0,2,1
Johanna,0.9555568,-0.7428271,-2.619853,YELLOW,0,0,0,2,1
Johanna,0.9666679,-0.7644811,-2.629378,YELLOW,0,0,0,2,1
Johanna,0.977779,-0.7644811,-2.629378,YELLOW,0,0,0,2,1
Johanna,0.9888902,-0.702454,-2.625926,YELLOW,0,0,0,2,1
Johanna,1.000001,-0.702454,-2.625926,YELLOW,0,0,0,2,1
Johanna,1.011112,-0.6315289,-2.622913,YELLOW,0,0,0,2,1
Johanna,1.022224,-0.6315289,-2.622913,YELLOW,0,0,0,2,1
Johanna,1.033335,-0.6082165,-2.654243,YELLOW,0,0,0,2,1
Johanna,1.044446,-0.6082165,-2.654243,YELLOW,0,0,0,2,1
Johanna,1.055557,-0.614521,-2.654727,YELLOW,0,0,0,2,1
Johanna,1.066668,-0.6084717,-2.669332,YELLOW,0,0,0,2,1
Johanna,1.077779,-0.6084717,-2.669332,YELLOW,0,0,0,2,1
Johanna,1.08889,-0.5818709,-2.668578,YELLOW,0,0,0,2,1
Johanna,1.100002,-0.5548444,-2.669541,YELLOW,0,0,0,2,1
Johanna,1.111113,-0.5619019,-2.669965,YELLOW,0,0,0,2,1
Johanna,1.122224,-0.5717584,-2.661358,YELLOW,0,0,0,2,1
Johanna,1.133335,-0.5717584,-2.661358,YELLOW,0,0,0,2,1
Johanna,1.144446,-0.5211806,-2.658574,YELLOW,0,0,0,2,1
Johanna,1.155557,-0.5211806,-2.658574,YELLOW,0,0,0,2,1
Johanna,1.166668,-0.4864728,-2.633857,YELLOW,0,0,0,2,1
Johanna,1.17778,-0.5246792,-2.660101,YELLOW,0,0,0,2,1
Johanna,1.188891,-0.5246792,-2.660101,YELLOW,0,0,0,2,1
Johanna,1.200002,-0.4981214,-2.670749,YELLOW,0,0,0,2,1
Johanna,1.211113,-0.4981214,-2.670749,YELLOW,0,0,0,2,1
Johanna,1.222224,-0.4981214,-2.670749,YELLOW,0,0,0,2,1
