Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
MurrayFullBody,0.01111111,1.467105,0.9837477,RED,0.9749279,-24.48506,141.161,2,1
MurrayFullBody,0.02222222,0.6504489,-0.3373857,RED,6.911467,-4.910793,98.80954,2,1
MurrayFullBody,0.03333334,0.05222733,-0.6094621,RED,6.914205,-4.910038,98.80827,2,1
MurrayFullBody,0.04444445,0.05222733,-0.6094621,RED,6.914086,-4.910003,98.80837,2,1
MurrayFullBody,0.05555556,0.004709953,-0.6810875,RED,6.914086,-4.910003,98.80837,2,1
MurrayFullBody,0.06666667,0.004709953,-0.6810875,RED,6.913804,-4.909873,98.80809,2,1
MurrayFullBody,0.07777778,0.03703498,-0.7537436,RED,6.913804,-4.909873,98.80809,2,1
MurrayFullBody,0.08888889,0.03703498,-0.7537436,RED,6.913402,-4.909904,98.80784,2,1
MurrayFullBody,0.1,0.05831508,-0.7579894,RED,6.913402,-4.909904,98.80784,2,1
MurrayFullBody,0.1111111,0.05831508,-0.7579894,RED,6.913171,-4.909925,98.80772,2,1
MurrayFullBody,0.1222222,0.0404492,-0.7976534,RED,6.912792,-4.910004,98.80753,2,1
MurrayFullBody,0.1333333,0.0404492,-0.7976534,RED,6.912368,-4.910025,98.80736,2,1
MurrayFullBody,0.1444445,0.02521185,-0.8323936,RED,6.911994,-4.910049,98.80703,2,1
MurrayFullBody,0.1555556,0.07212327,-0.8424549,RED,6.911576,-4.910009,98.80681,2,1
MurrayFullBody,0.1666667,0.07212327,-0.8424549,RED,6.911089,-4.910057,98.80682,2,1
MurrayFullBody,0.1777778,0.1285028,-0.8333296,RED,6.910742,-4.909997,98.80651,2,1
MurrayFullBody,0.1888889,0.1451045,-0.8278473,RED,6.910382,-4.909974,98.80634,2,1
MurrayFullBody,0.2,0.1183057,-0.8407282,RED,6.909994,-4.91012,98.80654,2,1
MurrayFullBody,0.2111111,0.1994063,-0.7900841,RED,6.909584,-4.910194,98.80658,2,1
MurrayFullBody,0.2222222,0.2788686,-0.7703159,RED,6.909326,-4.910207,98.80641,2,1
MurrayFullBody,0.2333333,0.2788686,-0.7703159,RED,6.908934,-4.910322,98.80651,2,1
MurrayFullBody,0.2444444,0.3018521,-0.7497954,RED,6.908603,-4.910357,98.80647,2,1
MurrayFullBody,0.2555556,0.3181012,-0.7812078,RED,6.908273,-4.910476,98.80634,2,1
MurrayFullBody,0.2666667,0.3207568,-0.8424754,RED,6.907918,-4.910584,98.80625,2,1
MurrayFullBody,0.2777778,0.3207568,-0.8424754,RED,6.907541,-4.910611,98.80632,2,1
MurrayFullBody,0.2888889,0.3838215,-0.8364044,RED,6.907283,-4.910657,98.80621,2,1
MurrayFullBody,0.3,0.3838215,-0.8364044,RED,6.907049,-4.910677,98.80623,2,1
MurrayFullBody,0.3111111,0.4350098,-0.8561699,RED,6.906891,-4.910672,98.8062,2,1
MurrayFullBody,0.3222222,0.4039793,-0.8584245,RED,6.906788,-4.910578,98.80627,2,1
MurrayFullBody,0.3333333,0.4039793,-0.8584245,RED,6.906607,-4.910618,98.80637,2,1
MurrayFullBody,0.3444445,0.4847626,-0.8544005,RED,6.906476,-4.910637,98.80631,2,1
MurrayFullBody,0.3555556,0.447922,-0.8562205,RED,6.906356,-4.910719,98.8062,2,1
MurrayFullBody,0.3666667,0.3679143,-0.8376982,RED,6.906207,-4.910801,98.80595,2,1
MurrayFullBody,0.3777778,0.3679143,-0.8376982,RED,6.905532,-4.911239,98.80605,2,1
MurrayFullBody,0.3888889,0.2899699,-0.8420559,RED,6.905532,-4.911239,98.80605,2,1
MurrayFullBody,0.4,0.2899699,-0.8420559,RED,6.905532,-4.911239,98.80605,2,1
MurrayFullBody,0.4111111,0.2899699,-0.8420559,RED,6.905397,-4.911339,98.80588,2,1
MurrayFullBody,0.4222222,0.2899699,-0.8420559,RED,6.905261,-4.911445,98.80571,2,1
MurrayFullBody,0.4333333,0.2084725,-0.8652315,RED,6.905076,-4.911585,98.80566,2,1
MurrayFullBody,0.4444444,0.2084725,-0.8652315,RED,6.904949,-4.911606,98.8056,2,1
MurrayFullBody,0.4555556,0.1374172,-0.8901268,RED,6.904855,-4.911587,98.80549,2,1
MurrayFullBody,0.4666667,0.1374172,-0.8901268,RED,6.904771,-4.911523,98.8055,2,1
MurrayFullBody,0.4777778,0.1145414,-0.9137006,RED,6.904653,-4.91153,98.8054,2,1
MurrayFullBody,0.4888889,0.06475727,-0.9373543,RED,6.904554,-4.911493,98.80527,2,1
MurrayFullBody,0.5,0.006520499,-1.017228,RED,6.90455,-4.911496,98.80507,2,1
MurrayFullBody,0.5111111,-0.04469835,-1.083219,RED,6.904431,-4.911604,98.80496,2,1
MurrayFullBody,0.5222223,-0.04469835,-1.083219,RED,6.904406,-4.911625,98.80473,2,1
MurrayFullBody,0.5333334,-0.05774543,-1.098865,RED,6.904434,-4.911587,98.80443,2,1
MurrayFullBody,0.5444446,-0.05774543,-1.098865,RED,6.904565,-4.91185,98.80377,2,1
MurrayFullBody,0.5555557,-0.1062525,-1.171178,RED,6.90462,-4.911782,98.80344,2,1
MurrayFullBody,0.5666668,-0.1044438,-1.285233,RED,6.904589,-4.911781,98.80328,2,1
MurrayFullBody,0.577778,-0.08166276,-1.339923,RED,6.904362,-4.911685,98.80359,2,1
MurrayFullBody,0.5888891,-0.09733704,-1.40244,RED,6.904359,-4.911595,98.8033,2,1
MurrayFullBody,0.6000003,-0.09733704,-1.40244,RED,6.904323,-4.911554,98.80315,2,1
MurrayFullBody,0.6111114,-0.09733704,-1.40244,RED,6.904266,-4.911495,98.80303,2,1
MurrayFullBody,0.6222225,-0.08136905,-1.481101,RED,6.904244,-4.911482,98.80285,2,1
MurrayFullBody,0.6333337,-0.1136346,-1.551107,RED,6.904226,-4.911632,98.80243,2,1
MurrayFullBody,0.6444448,-0.1086177,-1.55482,RED,6.904212,-4.911649,98.80226,2,1
MurrayFullBody,0.655556,-0.09559299,-1.568782,RED,6.90419,-4.911651,98.80209,2,1
MurrayFullBody,0.6666671,-0.09559299,-1.568782,RED,6.904051,-4.911667,98.80201,2,1
MurrayFullBody,0.6777782,-0.08215218,-1.576654,RED,6.903826,-4.911564,98.80247,2,1
MurrayFullBody,0.6888894,-0.08215218,-1.576654,RED,6.903822,-4.911527,98.80237,2,1
MurrayFullBody,0.7000005,-0.1130392,-1.595386,RED,6.903633,-4.911592,98.80257,2,1
MurrayFullBody,0.7111117,-0.1148624,-1.579719,RED,6.903638,-4.91154,98.80251,2,1
MurrayFullBody,0.7222228,-0.1148624,-1.579719,RED,6.903646,-4.911509,98.80245,2,1
MurrayFullBody,0.7333339,-0.09141027,-1.550002,RED,6.903495,-4.911628,98.80262,2,1
MurrayFullBody,0.7444451,-0.05518501,-1.549938,RED,6.903445,-4.91167,98.80258,2,1
MurrayFullBody,0.7555562,0.01138082,-1.530161,RED,6.90341,-4.911705,98.80254,2,1
MurrayFullBody,0.7666674,0.0483206,-1.511847,RED,6.903221,-4.911897,98.8027,2,1
MurrayFullBody,0.7777785,0.0483206,-1.511847,RED,6.903208,-4.911947,98.80269,2,1
MurrayFullBody,0.7888896,0.06757913,-1.472425,RED,6.903087,-4.91197,98.8027,2,1
MurrayFullBody,0.8000008,0.1031918,-1.443802,RED,6.903021,-4.912,98.80283,2,1
MurrayFullBody,0.8111119,0.1031918,-1.443802,RED,6.902951,-4.912022,98.80289,2,1
MurrayFullBody,0.8222231,0.1093365,-1.447457,RED,6.902724,-4.912053,98.80309,2,1
MurrayFullBody,0.8333342,0.1263446,-1.406457,RED,6.902565,-4.912175,98.80314,2,1
MurrayFullBody,0.8444453,0.1263446,-1.406457,RED,6.902351,-4.912248,98.80325,2,1
MurrayFullBody,0.8555565,0.1752625,-1.366138,RED,6.902122,-4.912357,98.80334,2,1
MurrayFullBody,0.8666676,0.1752625,-1.366138,RED,6.901951,-4.912519,98.80367,2,1
MurrayFullBody,0.8777788,0.1152122,-1.339089,RED,6.901709,-4.912714,98.8038,2,1
