Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
MurrayWow,0.01111111,2.879535,-1.361662,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.02222222,2.026099,-1.915411,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.03333334,1.369397,-2.555212,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.04444445,1.369397,-2.555212,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.05555556,1.369397,-2.555212,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.06666667,1.59714,-2.520062,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.07777778,1.931276,-2.467757,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.08888889,1.931276,-2.467757,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1,2.027835,-2.491257,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1111111,2.027835,-2.491257,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1222222,2.072904,-2.558957,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1333333,2.072904,-2.558957,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1444445,2.228435,-2.668485,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1555556,2.228435,-2.668485,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1666667,2.387316,-2.72637,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1777778,2.387316,-2.72637,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.1888889,2.552078,-2.744458,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2,2.80273,-2.736982,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2111111,2.998409,-2.74387,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2222222,2.998409,-2.74387,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2333333,3.237815,-2.72286,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2444444,3.237815,-2.72286,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2555556,3.47501,-2.697063,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2666667,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2777778,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.2888889,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3111111,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3222222,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3333333,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3444445,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3555556,5.100431,-2.378937,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3666667,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3777778,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.3888889,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.4,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.4111111,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.4222222,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.4333333,6.417998,-2.261255,RED,0.9749277,-24.48506,141.161,2,1
MurrayWow,0.4444444,6.779468,-2.165864,RED,0.9749277,-24.48506,141.161,2,1
