Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time
TJ,YES,YES,1,10.00007,4,10.00007,NO,NO,YES,-1.376339,1.09307,34.23362,0,0,0,0,10.00007
TJ,YES,YES,2,19.99986,6,10.00007,NO,NO,YES,3.957717,-0.8168989,128.7134,0,0,0.5111111,6.288907,3.199994
TJ,YES,YES,3,24.93283,2,4.933333,YES,YES,YES,-10.33733,-0.1374647,61.98406,14.14128,14.14128,2.622221,0.1666667,2.144447
TJ,YES,YES,4,28.37703,1,3.444437,YES,YES,YES,-0.4096597,-4.676612,75.1898,13.35084,27.49212,0.7333339,1.811115,0.900001
TJ,YES,YES,5,38.3774,6,10.00007,NO,NO,YES,10.52012,4.746744,162.3495,0,27.49212,0.4555556,7.866706,1.677781
TJ,YES,YES,6,43.4779,4,5.100002,YES,YES,YES,8.80971,5.012314,117.3283,12.40756,39.89968,1.055557,3.299993,0.7444451
TJ,YES,YES,7,47.25605,2,3.777767,YES,YES,YES,-14.25713,-0.5524108,56.049,8.863449,48.76313,0.5555557,1.544447,1.677781
TJ,YES,YES,8,56.77922,5,9.522284,YES,YES,YES,5.182813,2.913783,167.5458,7.268617,56.03175,1.722225,6.133349,1.66667
TJ,YES,YES,9,62.14642,3,5.366673,YES,YES,YES,-10.03315,1.783448,64.68285,6.783785,62.81553,1.366669,2.944441,1.055557
TJ,YES,YES,10,72.14462,6,10.00007,NO,NO,YES,4.91819,-1.027808,165.4166,0,62.81553,0.8000008,6.588911,2.61111
TJ,YES,YES,11,76.51022,1,4.366659,YES,YES,YES,-1.159221,-4.663393,73.79385,12.21762,75.03315,0.8444453,2.533333,0.9888902
TJ,YES,YES,12,79.98714,3,3.47777,YES,YES,YES,-9.384199,4.306962,44.01354,10.3206,85.35374,0.4111111,1.988893,1.077779
TJ,YES,YES,13,83.6307,4,3.644435,YES,YES,YES,9.075678,4.311202,50.00451,11.51583,96.86958,0.4444444,1.011112,2.188891
TJ,YES,YES,14,86.78548,5,3.15555,YES,YES,YES,2.51352,2.259127,62.94884,14.78651,111.6561,0.5555557,2.244446,0.3555556
TJ,YES,YES,15,94.40585,1,7.622258,YES,YES,YES,-1.412148,-5.046278,132.7852,10.61719,122.2733,2.411112,5.100002,0.1111111
TJ,YES,YES,16,98.10494,3,3.69999,YES,YES,YES,-7.142355,2.204806,66.95124,8.282532,130.5558,0.5333334,2.277779,0.8888899
TJ,YES,YES,17,107.4138,6,9.31117,YES,YES,YES,5.112255,-3.774194,169.4971,7.745353,138.3012,1.100002,5.43334,2.777775
TJ,YES,YES,18,110.6019,1,3.188883,YES,YES,NO,-0.2619146,-6.289577,46.29638,13.88282,152.184,0.6000003,1.977782,0.6111114
TJ,YES,YES,19,115.6229,2,5.022223,YES,YES,NO,-10.27438,-2.628752,106.6758,10.95192,163.1359,0.7333339,2.033337,2.255557
TJ,YES,YES,20,125.6204,3,10.00007,NO,NO,NO,-3.200887,-3.988761,167.5892,0,163.1359,1.633336,7.700037,0.6666671
TJ,YES,YES,21,131.4968,4,5.87779,YES,YES,NO,9.493157,2.679947,80.92959,6.021628,169.1575,2.444445,0.9444456,2.488889
TJ,YES,YES,22,141.4944,5,10.00007,NO,NO,NO,0.1256856,1.75449,155.5162,0,169.1575,0.8888899,8.677828,0.4333333
TJ,YES,YES,23,151.4919,6,10.00007,NO,NO,NO,4.110538,-0.2533333,167.9898,0,169.1575,0.7111117,7.633369,1.655559
TJ,YES,YES,24,159.2011,1,7.711148,YES,YES,YES,-4.948885,-3.916717,108.839,5.808229,174.9657,3.822211,3.733323,0.1555556
TJ,YES,YES,25,163.5112,3,4.311103,YES,YES,YES,-4.267503,5.567174,65.96506,14.18709,189.1528,0.1777778,3.511103,0.6222225
