Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Rama,0.01111111,0.9729071,-1.884553,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.02222222,1.33829,-1.400873,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.03333334,1.308533,-1.379177,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.04444445,1.308533,-1.379177,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.05555556,1.326146,-1.358387,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.06666667,1.303797,-1.368543,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.07777778,1.303797,-1.368543,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.08888889,1.276714,-1.398349,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1,1.276714,-1.398349,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1111111,1.254801,-1.442797,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1222222,1.254801,-1.442797,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1333333,1.223541,-1.444321,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1444445,1.223541,-1.444321,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1555556,1.258695,-1.489902,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1666667,1.238399,-1.482177,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1777778,1.238399,-1.482177,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.1888889,1.19181,-1.508233,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2,1.214219,-1.516044,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2111111,1.214219,-1.516044,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2222222,1.194355,-1.534561,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2333333,1.194355,-1.534561,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2444444,1.170054,-1.561359,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2555556,1.160501,-1.597051,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2666667,1.214145,-1.641829,RED,-5.946564,-18.39365,42.46983,2,1
Rama,0.2777778,1.147601,-1.661679,RED,-5.946564,-18.39365,42.46983,2,1
