Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Sean,0.01111111,0.4459462,-0.6663544,RED,-5.946564,-18.39365,42.46983,5,1
Sean,0.02222222,0.3892675,-0.599174,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.03333334,0.4407506,-0.6188834,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.04444445,0.4407506,-0.6188834,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.05555556,0.4225434,-0.6084957,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.06666667,0.4225434,-0.6084957,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.07777778,0.4265788,-0.6029635,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.08888889,0.4305792,-0.557681,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1,0.4305792,-0.557681,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1111111,0.4217417,-0.5287151,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1222222,0.4217417,-0.5287151,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1333333,0.4297428,-0.5210221,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1444445,0.4297428,-0.5210221,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1555556,0.4810477,-0.4857796,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1666667,0.5085887,-0.4297855,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1777778,0.5085887,-0.4297855,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.1888889,0.4996206,-0.4522818,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2,0.4855511,-0.4130037,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2111111,0.4855511,-0.4130037,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2222222,0.5005563,-0.4171844,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2333333,0.5005563,-0.4171844,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2444444,0.5354175,-0.4120787,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2555556,0.5354175,-0.4120787,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2666667,0.5081593,-0.4132751,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2777778,0.5314745,-0.3819983,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.2888889,0.5314745,-0.3819983,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3,0.5698638,-0.3676396,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3111111,0.5698638,-0.3676396,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3222222,0.560376,-0.3902573,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3333333,0.5527281,-0.3743667,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3444445,0.5124227,-0.3720345,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3555556,0.4522584,-0.3511826,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3666667,0.4522584,-0.3511826,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3777778,0.4611426,-0.31255,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.3888889,0.4611426,-0.31255,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4,0.4688036,-0.2847843,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4111111,0.4439032,-0.3111546,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4222222,0.4439032,-0.3111546,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4333333,0.4049429,-0.3258358,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4444444,0.4049429,-0.3258358,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4555556,0.3732087,-0.324279,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4666667,0.3732087,-0.324279,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4777778,0.3882086,-0.3127137,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.4888889,0.3882086,-0.3127137,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5,0.3213592,-0.3158561,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5111111,0.3093598,-0.2735493,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5222223,0.3157798,-0.2890743,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5333334,0.3157798,-0.2890743,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5444446,0.3371267,-0.257128,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5555557,0.3249816,-0.290211,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5666668,0.3161107,-0.297055,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.577778,0.3161107,-0.297055,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.5888891,0.324506,-0.2936622,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6000003,0.2513645,-0.3169064,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6111114,0.2513645,-0.3169064,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6222225,0.258493,-0.3246321,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6333337,0.258493,-0.3246321,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6444448,0.2374661,-0.3209662,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.655556,0.2525901,-0.3293318,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6666671,0.2525901,-0.3293318,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6777782,0.2554769,-0.3388861,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.6888894,0.228331,-0.3439876,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7000005,0.228331,-0.3439876,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7111117,0.2558689,-0.3392064,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7222228,0.2310277,-0.3533011,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7333339,0.2310277,-0.3533011,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7444451,0.2484246,-0.3349788,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7555562,0.2047004,-0.3705055,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7666674,0.2047004,-0.3705055,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7777785,0.1736144,-0.3457872,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.7888896,0.1975622,-0.3036868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8000008,0.1975622,-0.3036868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8111119,0.1975622,-0.3036868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8222231,0.1975622,-0.3036868,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8333342,0.1865722,-0.289813,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8444453,0.1996283,-0.2688881,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8555565,0.2205359,-0.2724263,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8666676,0.2205359,-0.2724263,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8777788,0.2137819,-0.2529308,YELLOW,-5.946564,-18.39365,42.46983,5,1
Sean,0.8888899,0.2606087,-0.2386595,YELLOW,-5.946564,-18.39365,42.46983,5,1
