Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Tarkan,0.01111111,-1.90727,5.202476,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.02222222,-2.408854,6.482166,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.03333334,-2.400667,6.407582,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.04444445,-2.400667,6.407582,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.05555556,-2.3782,6.340847,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.06666667,-2.3782,6.340847,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.07777778,-2.356316,6.270998,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.08888889,-2.356316,6.270998,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1,-2.332776,6.190793,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1111111,-2.306569,6.140413,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1222222,-2.306569,6.140413,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1333333,-2.273383,6.105969,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1444445,-2.26794,6.085735,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1555556,-2.26794,6.085735,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1666667,-2.266041,6.025682,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1777778,-2.235579,5.959191,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.1888889,-2.235579,5.959191,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2,-2.218231,5.863657,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2111111,-2.180141,5.749798,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2222222,-2.180141,5.749798,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2333333,-2.18057,5.652559,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2444444,-2.125305,5.520221,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2555556,-2.125305,5.520221,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2666667,-2.11047,5.332009,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2777778,-2.110182,5.123699,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.2888889,-2.110182,5.123699,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3,-2.086359,4.613852,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3111111,-2.086359,4.613852,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3222222,-1.983055,4.365247,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3333333,-1.983055,4.365247,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3444445,-1.983055,4.365247,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3555556,-1.934049,3.860205,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3666667,-1.934049,3.860205,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3777778,-1.946021,3.657417,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.3888889,-1.946021,3.657417,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4,-1.934318,3.19892,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4111111,-1.934318,3.19892,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4222222,-1.933466,2.997835,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4333333,-1.933466,2.997835,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4444444,-1.93453,2.799285,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4555556,-1.894474,2.598993,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4666667,-1.834941,2.396069,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4777778,-1.834941,2.396069,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.4888889,-1.797085,2.24444,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5,-1.75173,2.085588,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5111111,-1.75173,2.085588,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5222223,-1.718656,1.919161,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5333334,-1.700071,1.742177,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5444446,-1.700071,1.742177,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5555557,-1.701037,1.564299,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5666668,-1.689358,1.4166,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.577778,-1.689358,1.4166,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.5888891,-1.639663,1.240512,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6000003,-1.582656,1.147611,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6111114,-1.490395,1.042777,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6222225,-1.490395,1.042777,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6333337,-1.434894,0.8949745,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6444448,-1.434894,0.8949745,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.655556,-1.405688,0.7379773,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6666671,-1.405688,0.7379773,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6777782,-1.366757,0.5218612,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.6888894,-1.366757,0.5218612,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7000005,-1.333848,0.414231,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7111117,-1.368292,0.3102676,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7222228,-1.368292,0.3102676,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7333339,-1.335613,0.2001376,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7444451,-1.366838,0.1370938,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7555562,-1.366838,0.1370938,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7666674,-1.421971,0.1003577,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7777785,-1.469311,0.1355691,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.7888896,-1.470464,0.1588265,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8000008,-1.470464,0.1588265,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8111119,-1.479832,0.2156236,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8222231,-1.479832,0.2156236,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8333342,-1.464101,0.2222641,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8444453,-1.454455,0.2824361,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8555565,-1.454455,0.2824361,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8666676,-1.394083,0.4047241,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8777788,-1.394083,0.4047241,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.8888899,-1.394083,0.4047241,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.900001,-1.380687,0.500539,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9111122,-1.419818,0.6350605,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9222233,-1.426848,0.8517129,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9333345,-1.426848,0.8517129,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9444456,-1.464917,1.089141,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9555568,-1.5391,1.347417,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9666679,-1.5391,1.347417,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.977779,-1.589302,1.579206,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,0.9888902,-1.639673,1.829824,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.000001,-1.749128,2.025438,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.011112,-1.749128,2.025438,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.022224,-1.856634,2.234816,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.033335,-1.94871,2.393629,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.044446,-1.94871,2.393629,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.055557,-2.010692,2.500485,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.066668,-2.010692,2.500485,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.077779,-2.08186,2.627071,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.08889,-2.08186,2.627071,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.100002,-2.08186,2.627071,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.111113,-2.136359,2.711833,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.122224,-2.136359,2.711833,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.133335,-2.177095,2.794754,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.144446,-2.177095,2.794754,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.155557,-2.206036,2.836347,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.166668,-2.197607,2.875058,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.17778,-2.197607,2.875058,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.188891,-2.17695,3.002722,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.200002,-2.17695,3.002722,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.211113,-2.08885,3.046322,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.222224,-2.08885,3.046322,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.233335,-2.029805,3.09592,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.244446,-2.010276,3.162386,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.255558,-2.010276,3.162386,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.266669,-1.962774,3.234346,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.27778,-1.913067,3.305578,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.288891,-1.913067,3.305578,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.300002,-1.849056,3.370075,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.311113,-1.849056,3.370075,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.322224,-1.741269,3.479761,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.333336,-1.741269,3.479761,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.344447,-1.710526,3.558383,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.355558,-1.710526,3.558383,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.366669,-1.663971,3.642329,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.37778,-1.64365,3.738152,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.388891,-1.64365,3.738152,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.400002,-1.606959,3.800496,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.411114,-1.606959,3.800496,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.422225,-1.618987,3.853591,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.433336,-1.618987,3.853591,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.444447,-1.621722,3.930033,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.455558,-1.633968,4.026444,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.466669,-1.633968,4.026444,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.47778,-1.622312,4.101385,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.488891,-1.566404,4.169174,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.500003,-1.566404,4.169174,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.511114,-1.553446,4.261508,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.522225,-1.553446,4.261508,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.533336,-1.492872,4.341212,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.544447,-1.456041,4.359594,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.555558,-1.3314,4.408408,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.566669,-1.204502,4.42384,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.577781,-1.204502,4.42384,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.588892,-1.06216,4.430871,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.600003,-1.06216,4.430871,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.611114,-1.06216,4.430871,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.622225,-0.8775917,4.378056,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.633336,-0.8775917,4.378056,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.644447,-0.6261943,4.237276,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.655559,-0.6261943,4.237276,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.66667,-0.4857495,4.146347,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.677781,-0.4857495,4.146347,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.688892,-0.4857495,4.146347,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.700003,-0.3653216,4.017109,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.711114,-0.2471957,3.832469,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.722225,-0.1200061,3.653306,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.733337,-0.02073476,3.477571,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.744448,-0.02073476,3.477571,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.755559,0.04189242,3.348011,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.76667,0.04189242,3.348011,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.777781,0.04189242,3.348011,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.788892,0.1539931,3.055422,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.800003,0.1539931,3.055422,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.811115,0.2093529,2.895746,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.822226,0.2490523,2.67536,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.833337,0.2490523,2.67536,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.844448,0.3625089,2.403184,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.855559,0.4578365,2.06565,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.86667,0.5799249,1.685496,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.877781,0.5799249,1.685496,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.888893,0.7627707,1.397153,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.900004,1.000042,1.102861,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.911115,1.000042,1.102861,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.922226,1.169425,0.8695716,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.933337,1.169425,0.8695716,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.944448,1.359041,0.4568346,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.955559,1.359041,0.4568346,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.966671,1.353856,0.3603245,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.977782,1.348888,0.2612502,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,1.988893,1.348888,0.2612502,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.000004,1.326631,0.1429971,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.011115,1.326631,0.1429971,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.022226,1.22681,-0.04153427,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.033337,1.203877,-0.3189132,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.044448,1.203877,-0.3189132,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.055559,1.209726,-0.4880248,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.06667,1.330938,-0.5338017,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.077781,1.330938,-0.5338017,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.088892,1.396556,-0.5464076,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.100003,1.440964,-0.6282815,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.111114,1.421449,-0.7571328,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.122225,1.421449,-0.7571328,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.133336,1.381848,-0.9391358,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.144447,1.349845,-1.198895,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.155558,1.349845,-1.198895,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.166669,1.353958,-1.417533,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.17778,1.391104,-1.581154,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.188891,1.391104,-1.581154,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.200002,1.376895,-1.68321,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.211113,1.426406,-1.707933,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.222224,1.450093,-1.725053,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.233335,1.450093,-1.725053,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.244446,1.543987,-1.669282,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.255557,1.543987,-1.669282,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.266668,1.65974,-1.598853,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.277779,1.757839,-1.471549,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.28889,1.757839,-1.471549,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.300001,1.840705,-1.274163,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.311112,1.840705,-1.274163,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.322223,1.716612,-1.202367,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.333334,1.716612,-1.202367,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.344445,1.54502,-1.150418,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.355556,1.348706,-1.166962,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.366668,1.348706,-1.166962,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.377779,1.115878,-1.234998,RED,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.38889,0.8302935,-1.280217,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.400001,0.8302935,-1.280217,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.411112,0.5680618,-1.331815,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.422223,0.3199826,-1.40196,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.433334,0.06857593,-1.482477,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.444445,0.06857593,-1.482477,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.455556,-0.09556081,-1.567361,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.466667,-0.09556081,-1.567361,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.477778,-0.2731275,-1.686695,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.488889,-0.4440624,-1.813691,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.5,-0.4440624,-1.813691,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.511111,-0.653502,-2.069738,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.522222,-0.653502,-2.069738,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.533333,-0.6706368,-2.139539,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.544444,-0.5990527,-2.20478,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.555555,-0.6228644,-2.219769,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.566666,-0.5724642,-2.303975,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.577777,-0.5724642,-2.303975,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.588888,-0.5439093,-2.388521,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.599999,-0.5017678,-2.49374,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.61111,-0.5017678,-2.49374,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.622221,-0.4213305,-2.564821,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.633332,-0.4213305,-2.564821,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.644443,-0.2508806,-2.669447,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.655554,-0.2508806,-2.669447,YELLOW,-5.946564,-18.39365,42.46983,2,1
Tarkan,2.666665,-0.1790084,-2.720606,YELLOW,-5.946564,-18.39365,42.46983,2,1
