Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
WinstonApr17,0.01111111,-1.258121,0.3764099,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.02222222,-0.700025,-0.3214495,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.03333334,-1.295562,-2.27388,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.04444445,-1.295562,-2.27388,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.05555556,-1.295562,-2.27388,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.06666667,-1.295562,-2.27388,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.07777778,-1.405289,-2.398948,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.08888889,-1.462578,-2.51196,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1,-1.462578,-2.51196,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1111111,-1.457369,-2.563661,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1222222,-1.457369,-2.563661,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1333333,-1.49714,-2.615055,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1444445,-1.49714,-2.615055,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1555556,-1.500277,-2.633229,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1666667,-1.500277,-2.633229,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1777778,-1.514437,-2.634401,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.1888889,-1.544795,-2.610636,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2,-1.544795,-2.610636,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2111111,-1.542102,-2.612669,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2222222,-1.519369,-2.600645,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2333333,-1.519369,-2.600645,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2444444,-1.541428,-2.582833,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2555556,-1.541428,-2.582833,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2666667,-1.520093,-2.598876,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2777778,-1.520093,-2.598876,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.2888889,-1.489067,-2.599744,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3,-1.52188,-2.608316,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3111111,-1.52188,-2.608316,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3222222,-1.521108,-2.635415,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3333333,-1.521108,-2.635415,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3444445,-1.405623,-2.656095,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3555556,-1.405623,-2.656095,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3666667,-1.405623,-2.656095,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3777778,-1.362504,-2.681979,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.3888889,-1.332342,-2.707602,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.4,-1.255817,-2.778945,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.4111111,-1.221661,-2.795391,RED,-5.946564,-18.39365,42.46983,4,1
WinstonApr17,0.4222222,-1.221661,-2.795391,RED,-5.946564,-18.39365,42.46983,4,1
