Participant ID,Right Handed?,Rotating Targets?,Trial Number,Global Time,Target Number,Target Time,Weight Shift Success?,Hit Success?,Random Sequence?,X Coord of COP,Y Coord of COP,COP Total Path,Trial Score,Cumulative Score,Green Time,Yellow Time,Red Time
Johanna,YES,NO,1,10.00007,2,10.00007,NO,NO,NO,-2.689951,-4.193299,32.47305,0,0,0,9.777843,0.2222222
Johanna,YES,NO,2,19.99986,3,10.00007,YES,NO,NO,-8.183392,2.307223,91.29889,0,0,2.966663,7.02225,0.01111111
Johanna,YES,NO,3,29.99913,4,10.00007,NO,NO,NO,-0.8676267,-1.613059,34.38747,0,0,0,0,10.00007
Johanna,YES,NO,4,39.99978,5,10.00007,NO,NO,NO,-0.3254456,-2.657347,35.24011,0,0,0,9.988956,0.01111111
Johanna,YES,NO,5,50.00077,6,10.00007,NO,NO,NO,6.210276,-4.914524,148.2715,0,0,0.8555565,5.833345,3.311104
Johanna,YES,NO,6,55.90136,1,5.900013,YES,YES,NO,-3.570673,-6.114794,67.19131,5.915539,5.915539,1.511114,3.311104,1.077779
Johanna,YES,NO,7,58.31271,2,2.411112,YES,YES,NO,-10.68344,0.1667954,26.1121,15.52214,21.43768,0.9888902,1.422225,0
Johanna,YES,NO,8,68.31222,3,10.00007,NO,NO,NO,-9.135765,2.743915,135.4086,0,21.43768,1.888893,8.111154,0
Johanna,YES,NO,9,73.45541,4,5.144447,YES,YES,NO,12.67818,0.828018,72.5051,9.733924,31.1716,1.022224,0.9333345,3.188883
Johanna,YES,NO,10,83.45296,5,10.00007,NO,NO,NO,8.584083,-1.270212,118.2905,0,31.1716,2.93333,6.477798,0.5888891
Johanna,YES,NO,11,90.38461,6,6.93336,YES,YES,NO,8.398769,-0.9272477,78.56234,9.226496,40.39809,3.299993,2.899997,0.7333339
Johanna,YES,NO,12,98.52706,1,8.144487,YES,YES,NO,-5.831885,-4.955884,90.92434,8.826267,49.22436,1.655559,5.222226,1.266669
Johanna,YES,NO,13,103.2926,2,4.766665,YES,YES,NO,-9.387323,-2.875809,83.04794,11.82887,61.05323,1.622225,3.011107,0.1333333
Johanna,YES,NO,14,107.847,3,4.555551,YES,YES,NO,-8.357804,-0.1906387,46.12529,13.75053,74.80376,1.76667,2.788886,0
Johanna,YES,NO,15,112.8125,4,4.966667,YES,YES,NO,12.09687,1.241199,45.85064,13.20729,88.01105,1.711114,0.4,2.855552
Johanna,YES,NO,16,122.0213,5,9.211168,YES,YES,NO,5.579387,1.239525,92.62157,6.681606,94.69265,2.811108,6.40002,0
Johanna,YES,NO,17,127.6311,6,5.61112,YES,YES,NO,7.613709,-0.4976818,49.65523,12.96723,107.6599,1.400002,4.211102,0
Johanna,YES,NO,18,134.2184,1,6.588911,YES,YES,NO,-4.629972,-2.586017,66.17366,9.366171,117.0261,2.222224,3.122217,1.244446
Johanna,YES,NO,19,136.4622,2,2.244446,YES,YES,NO,-8.303567,-0.03932606,19.54858,14.27278,131.2988,1.544447,0.7000005,0
Johanna,YES,NO,20,137.8841,3,1.422225,YES,YES,NO,-7.542496,0.5809814,6.442567,15.48641,146.7853,0.9111122,0.5111111,0
Johanna,YES,NO,21,143.5716,4,5.688899,YES,YES,NO,9.617419,1.956659,63.6889,13.20295,159.9882,1.922226,1.755559,2.011115
Johanna,YES,NO,22,148.4149,5,4.844443,YES,YES,NO,7.121269,0.6553869,48.74572,14.35608,174.3443,2.06667,2.777775,0
Johanna,YES,NO,23,155.091,6,6.677801,YES,YES,NO,7.593991,-1.489614,75.54858,5.466833,179.8111,1.444447,4.611107,0.6222225
Johanna,YES,NO,24,162.2004,1,7.11114,YES,YES,NO,-4.87213,-6.310931,79.02344,11.01188,190.823,2.444445,3.433326,1.233335
Johanna,YES,NO,25,164.3221,2,2.122225,YES,YES,NO,-9.654433,-1.502659,20.22498,13.10283,203.9258,1.011112,1.111113,0
