Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
Johanna3,0.01111111,-1.827002,-2.135092,RED,0,0,0,2,1
Johanna3,0.02222222,-1.899772,-2.078592,RED,0,0,0,2,1
Johanna3,0.03333334,-1.906042,-2.107383,RED,0,0,0,2,1
Johanna3,0.04444445,-1.906042,-2.107383,RED,0,0,0,2,1
Johanna3,0.05555556,-1.887508,-2.120737,RED,0,0,0,2,1
Johanna3,0.06666667,-1.823535,-2.142147,RED,0,0,0,2,1
Johanna3,0.07777778,-1.909035,-2.13188,RED,0,0,0,2,1
Johanna3,0.08888889,-1.909035,-2.13188,RED,0,0,0,2,1
Johanna3,0.1,-1.846324,-2.135342,RED,0,0,0,2,1
Johanna3,0.1111111,-1.846324,-2.135342,RED,0,0,0,2,1
Johanna3,0.1222222,-1.846324,-2.135342,RED,0,0,0,2,1
Johanna3,0.1333333,-1.9163,-2.157061,RED,0,0,0,2,1
Johanna3,0.1444445,-1.91812,-2.163956,RED,0,0,0,2,1
Johanna3,0.1555556,-1.91812,-2.163956,RED,0,0,0,2,1
Johanna3,0.1666667,-1.900728,-2.221737,RED,0,0,0,2,1
Johanna3,0.1777778,-1.900728,-2.221737,RED,0,0,0,2,1
Johanna3,0.1888889,-1.866363,-2.323034,RED,0,0,0,2,1
Johanna3,0.2,-1.866363,-2.323034,RED,0,0,0,2,1
Johanna3,0.2111111,-1.931483,-2.361024,RED,0,0,0,2,1
Johanna3,0.2222222,-1.931483,-2.361024,RED,0,0,0,2,1
Johanna3,0.2333333,-1.922128,-2.373328,RED,0,0,0,2,1
Johanna3,0.2444444,-1.981461,-2.370515,RED,0,0,0,2,1
Johanna3,0.2555556,-1.981461,-2.370515,RED,0,0,0,2,1
Johanna3,0.2666667,-1.929929,-2.364115,RED,0,0,0,2,1
Johanna3,0.2777778,-1.929929,-2.364115,RED,0,0,0,2,1
Johanna3,0.2888889,-1.929929,-2.364115,RED,0,0,0,2,1
