Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number,CoP Velocity X,CoP Velocity Y
emilytest2,0.01111111,1.040971,0.5581728,RED,0,0,0,2,1,0.9368735,0.5023555
emilytest2,0.02222222,1.040971,0.5581728,RED,0,0,0,2,1,0,0
emilytest2,0.03333334,1.018865,0.5381049,RED,0,0,0,2,1,-0.01989459,-0.01806114
emilytest2,0.04444445,1.03483,0.5279604,RED,0,0,0,2,1,0.01436849,-0.009130078
emilytest2,0.05555556,1.03483,0.5279604,RED,0,0,0,2,1,0,0
emilytest2,0.06666667,1.051143,0.5207487,RED,0,0,0,2,1,0.01468113,-0.006490516
emilytest2,0.07777778,1.051143,0.5207487,RED,0,0,0,2,1,0,0
emilytest2,0.08888889,1.051143,0.5207487,RED,0,0,0,2,1,0,0
emilytest2,0.1,1.073373,0.5163632,RED,0,0,0,2,1,0.02000713,-0.003946924
emilytest2,0.1111111,1.073373,0.5163632,RED,0,0,0,2,1,0,0
emilytest2,0.1222222,1.043864,0.5462198,RED,0,0,0,2,1,-0.02655827,0.02687096
emilytest2,0.1333333,1.020242,0.5522734,RED,0,0,0,2,1,-0.02125983,0.00544821
emilytest2,0.1444445,1.020242,0.5522734,RED,0,0,0,2,1,0,0
emilytest2,0.1555556,1.073713,0.5320666,RED,0,0,0,2,1,0.04812409,-0.01818613
emilytest2,0.1666667,1.073713,0.5320666,RED,0,0,0,2,1,0,0
emilytest2,0.1777778,1.068846,0.4794176,RED,0,0,0,2,1,-0.004380369,-0.04738409
emilytest2,0.1888889,1.068846,0.4794176,RED,0,0,0,2,1,0,0
emilytest2,0.2,1.098869,0.4327505,RED,0,0,0,2,1,0.02702057,-0.04200036
emilytest2,0.2111111,1.115339,0.381727,RED,0,0,0,2,1,0.01482328,-0.04592116
emilytest2,0.2222222,1.115339,0.381727,RED,0,0,0,2,1,0,0
