Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number,CoP Velocity X,CoP Velocity Y
emilytest_april22,0.01111111,-1.67636,-1.653986,RED,0,0,0,3,1,-1.508724,-1.488587
emilytest_april22,0.02222222,-1.637996,-1.741546,YELLOW,0,0,0,3,1,0.03452776,-0.07880459
emilytest_april22,0.03333334,-1.637996,-1.741546,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.04444445,-1.628598,-1.770215,YELLOW,0,0,0,3,1,0.008458078,-0.02580221
emilytest_april22,0.05555556,-1.628598,-1.770215,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.06666667,-1.569645,-1.77143,YELLOW,0,0,0,3,1,0.05305742,-0.001093054
emilytest_april22,0.07777778,-1.569645,-1.77143,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.08888889,-1.569645,-1.77143,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.1,-1.560465,-1.761857,YELLOW,0,0,0,3,1,0.008262599,0.008615148
emilytest_april22,0.1111111,-1.560465,-1.761857,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.1222222,-1.547173,-1.797446,YELLOW,0,0,0,3,1,0.01196287,-0.03202955
emilytest_april22,0.1333333,-1.483692,-1.783968,YELLOW,0,0,0,3,1,0.05713223,0.01212959
emilytest_april22,0.1444445,-1.406763,-1.758618,YELLOW,0,0,0,3,1,0.0692365,0.02281519
emilytest_april22,0.1555556,-1.334915,-1.751909,YELLOW,0,0,0,3,1,0.06466355,0.006038725
emilytest_april22,0.1666667,-1.334915,-1.751909,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.1777778,-1.292664,-1.735678,YELLOW,0,0,0,3,1,0.03802525,0.01460731
emilytest_april22,0.1888889,-1.292664,-1.735678,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.2,-1.195135,-1.725604,YELLOW,0,0,0,3,1,0.08777657,0.009066403
emilytest_april22,0.2111111,-1.195135,-1.725604,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.2222222,-1.155773,-1.735503,YELLOW,0,0,0,3,1,0.03542586,-0.008909118
emilytest_april22,0.2333333,-1.074074,-1.705687,YELLOW,0,0,0,3,1,0.07352889,0.02683507
emilytest_april22,0.2444444,-1.030036,-1.658264,YELLOW,0,0,0,3,1,0.03963404,0.04268049
emilytest_april22,0.2555556,-0.9696965,-1.603875,YELLOW,0,0,0,3,1,0.05430561,0.04894967
emilytest_april22,0.2666667,-0.9696965,-1.603875,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.2777778,-0.9248661,-1.549963,YELLOW,0,0,0,3,1,0.04034734,0.04852159
emilytest_april22,0.2888889,-0.8573786,-1.476267,YELLOW,0,0,0,3,1,0.06073878,0.0663262
emilytest_april22,0.3,-0.8573786,-1.476267,YELLOW,0,0,0,3,1,0,0
emilytest_april22,0.3111111,-0.7853544,-1.417261,YELLOW,0,0,0,3,1,0.0648218,0.05310548
emilytest_april22,0.3222222,-0.7222706,-1.36918,GREEN,0,0,0,3,1,0.05677539,0.04327283
emilytest_april22,0.3333333,-0.7222706,-1.36918,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.3444445,-0.7213892,-1.291006,GREEN,0,0,0,3,1,0.0007932901,0.07035649
emilytest_april22,0.3555556,-0.7213892,-1.291006,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.3666667,-0.7045953,-1.249009,GREEN,0,0,0,3,1,0.01511452,0.03779747
emilytest_april22,0.3777778,-0.7045953,-1.249009,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.3888889,-0.6551673,-1.208263,GREEN,0,0,0,3,1,0.04448519,0.03667095
emilytest_april22,0.4,-0.6551673,-1.208263,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.4111111,-0.6774864,-1.206086,GREEN,0,0,0,3,1,-0.02008722,0.001959622
emilytest_april22,0.4222222,-0.6554024,-1.168936,GREEN,0,0,0,3,1,0.01987565,0.03343481
emilytest_april22,0.4333333,-0.6554024,-1.168936,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.4444444,-0.650597,-1.108854,GREEN,0,0,0,3,1,0.004324847,0.05407419
emilytest_april22,0.4555556,-0.5941413,-1.110001,GREEN,0,0,0,3,1,0.0508101,-0.00103308
emilytest_april22,0.4666667,-0.5941413,-1.110001,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.4777778,-0.5796335,-1.080169,GREEN,0,0,0,3,1,0.01305699,0.02684891
emilytest_april22,0.4888889,-0.5796335,-1.080169,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.5,-0.5360208,-1.057224,GREEN,0,0,0,3,1,0.03925145,0.02065086
emilytest_april22,0.5111111,-0.5360208,-1.057224,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.5222223,-0.5360208,-1.057224,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.5333334,-0.4591404,-1.050644,GREEN,0,0,0,3,1,0.06919241,0.005921781
emilytest_april22,0.5444446,-0.4591404,-1.050644,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.5555557,-0.4591404,-1.050644,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.5666668,-0.4591404,-1.050644,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.577778,-0.3363263,-1.036016,GREEN,0,0,0,3,1,0.1105327,0.01316493
emilytest_april22,0.5888891,-0.2170247,-1.05561,GREEN,0,0,0,3,1,0.1073714,-0.01763413
emilytest_april22,0.6000003,-0.2170247,-1.05561,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.6111114,-0.07825696,-1.103809,GREEN,0,0,0,3,1,0.124891,-0.04337905
emilytest_april22,0.6222225,-0.07825696,-1.103809,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.6333337,-0.07825696,-1.103809,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.6444448,0.1083077,-1.089574,GREEN,0,0,0,3,1,0.1679082,0.0128113
emilytest_april22,0.655556,0.1083077,-1.089574,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.6666671,0.1083077,-1.089574,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.6777782,0.2279087,-1.085565,GREEN,0,0,0,3,1,0.1076409,0.003608429
emilytest_april22,0.6888894,0.2854903,-1.089267,GREEN,0,0,0,3,1,0.0518234,-0.003331947
emilytest_april22,0.7000005,0.3488498,-1.102013,GREEN,0,0,0,3,1,0.05702357,-0.01147138
emilytest_april22,0.7111117,0.3488498,-1.102013,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.7222228,0.4323691,-1.098948,GREEN,0,0,0,3,1,0.07516735,0.002758384
emilytest_april22,0.7333339,0.4323691,-1.098948,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.7444451,0.5233409,-1.111923,GREEN,0,0,0,3,1,0.08187462,-0.0116778
emilytest_april22,0.7555562,0.5233409,-1.111923,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.7666674,0.5233409,-1.111923,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.7777785,0.5880054,-1.138176,GREEN,0,0,0,3,1,0.05819808,-0.02362737
emilytest_april22,0.7888896,0.681039,-1.160661,GREEN,0,0,0,3,1,0.08373025,-0.02023694
emilytest_april22,0.8000008,0.7185746,-1.190407,GREEN,0,0,0,3,1,0.03378205,-0.02677059
emilytest_april22,0.8111119,0.7552884,-1.230168,GREEN,0,0,0,3,1,0.0330424,-0.0357856
emilytest_april22,0.8222231,0.7552884,-1.230168,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.8333342,0.7799342,-1.269414,GREEN,0,0,0,3,1,0.02218117,-0.03532083
emilytest_april22,0.8444453,0.7763266,-1.332923,GREEN,0,0,0,3,1,-0.003246814,-0.05715852
emilytest_april22,0.8555565,0.7763266,-1.332923,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.8666676,0.8119231,-1.341484,GREEN,0,0,0,3,1,0.03203684,-0.007704592
emilytest_april22,0.8777788,0.8119231,-1.341484,GREEN,0,0,0,3,1,0,0
emilytest_april22,0.8888899,0.7958288,-1.395844,GREEN,0,0,0,3,1,-0.01448484,-0.04892414
emilytest_april22,0.900001,0.7958288,-1.395844,GREEN,0,0,0,3,1,0,0
