Participant ID,Global Time,CoP X,CoP Y,Current Color,CoM X,CoM Y,CoM Z,Target Number,Trial Number
murray5-29,0.01111111,-1.096853,4.274967,RED,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.02222222,-1.163415,4.230545,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.03333334,-1.163415,4.230545,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.04444445,-1.153131,4.208906,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.05555556,-1.153131,4.208906,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.06666667,-1.119806,4.248558,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.07777778,-1.120646,4.310302,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.08888889,-1.153817,4.374879,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1,-1.167701,4.356906,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1111111,-1.167701,4.356906,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1222222,-1.131844,4.290272,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1333333,-1.131844,4.290272,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1444445,-1.105494,4.223839,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1555556,-1.050963,4.122608,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1666667,-1.050963,4.122608,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1777778,-1.026371,4.116593,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.1888889,-1.035365,4.117578,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2,-0.9871119,4.091804,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2111111,-0.9871119,4.091804,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2222222,-0.9334287,4.102417,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2333333,-0.9334287,4.102417,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2444444,-0.9119293,4.114538,GREEN,-5.946564,-18.39365,42.46983,5,1
murray5-29,0.2555556,-0.9231303,4.136147,GREEN,-5.946564,-18.39365,42.46983,5,1
