Time,Head X,Head Y,Head Z,Neck X,Neck Y,Neck Z,SpineShoulder X,SpineShoulder Y,SpineShoulder Z,SpineMid X,SpineMid Y,SpineMid Z,SpineBase X,SpineBase Y,SpineBase Z,RightShoulder X,RightShoulder Y,RightShoulder Z,LeftShoulder X,LeftShoulder Y,LeftShoulder Z,RightElbow X,RightElbow Y,RightElbow Z,LeftElbow X,LeftElbow Y,LeftElbow Z,RightWrist X,RightWrist Y,RightWrist Z,LeftWrist X,LeftWrist Y,LeftWrist Z,RightHand X,RightHand Y,RightHand Z,LeftHand X,LeftHand Y,LeftHand Z,RightThumb X,RightThumb Y,RightThumb Z,LeftThumb X,LeftThumb Y,LeftThumb Z,RightHandTip X,RightHandTip Y,RightHandTip Z,LeftHandTip X,LeftHandTip Y,LeftHandTip Z,RightHip X,RightHip Y,RightHip Z,LeftHip X,LeftHip Y,LeftHip Z,RightKnee X,RightKnee Y,RightKnee Z,LeftKnee X,LeftKnee Y,LeftKnee Z,RightAnkle X,RightAnkle Y,RightAnkle Z,LeftAnkle X,LeftAnkle Y,LeftAnkle Z,RightFoot X,RightFoot Y,RightFoot Z,LeftFoot X,LeftFoot Y,LeftFoot Z
71.55334,-0.02051454,1.30764,0.4481772,-0.01545347,1.193589,0.4755981,-0.01152738,1.105669,0.4964012,-0.007658787,1.017927,0.5178336,-0.008931726,0.9316424,0.4908782,0.1543237,1.156051,0.4445531,-0.1868056,1.146882,0.4843195,0.1970418,1.109338,0.2457611,-0.08541556,0.9823985,0.5629981,0.260228,0.9629628,0.111199,0.01597451,0.8179145,0.6416766,0.2804779,0.8991624,0.1688267,0.0433708,0.7976112,0.723155,0.2520828,0.9340771,0.1443937,0.0412471,0.796829,0.6719967,0.2947633,0.8901591,0.1579349,0.02598312,0.8008267,0.7326995,0.05976424,0.7606418,0.4470009,-0.1048797,0.7769901,0.4383217,0.03369439,0.7581049,0.08542705,-0.1296207,0.774393,0.07665494,0.008323066,0.755636,-0.2664568,-0.1536987,0.7718656,-0.2753193,-0.0009269193,0.7546612,-0.3945987,-0.162477,0.7708697,-0.4034941
71.56445,-0.02010245,1.307568,0.447959,-0.01511551,1.193537,0.4754775,-0.01124689,1.105633,0.4963559,-0.007434964,1.017906,0.5178634,-0.00874263,0.9315147,0.4912537,0.1546004,1.155834,0.4442956,-0.1865011,1.14707,0.4847294,0.1962822,1.112367,0.2445498,-0.08305525,0.9823333,0.5601352,0.2599274,0.9643408,0.1120248,0.02039061,0.8175967,0.635541,0.2802655,0.9007962,0.1699036,0.04788616,0.7997548,0.7175604,0.2518395,0.9356186,0.1453752,0.04628909,0.7981181,0.6664031,0.2945171,0.8917298,0.1590198,0.03028164,0.8023288,0.7268996,0.05976033,0.7605564,0.4469127,-0.1048758,0.7770755,0.4384099,0.03369042,0.7580198,0.0853388,-0.1296168,0.7744781,0.07674301,0.008319117,0.7555512,-0.2665452,-0.1536948,0.7719503,-0.2752314,-0.0009308532,0.7545766,-0.3946871,-0.1624733,0.7709541,-0.4034063
71.57555,-0.01954428,1.307467,0.4482744,-0.01465592,1.193432,0.4757897,-0.01086349,1.105523,0.4966656,-0.007126793,1.017792,0.5181708,-0.008487478,0.9313029,0.4918854,0.1549831,1.155553,0.4443994,-0.1860709,1.146673,0.4832556,0.1959272,1.11461,0.2439688,-0.08675959,0.9811774,0.5624622,0.260147,0.9663931,0.1119356,0.01255182,0.8156818,0.641669,0.2805323,0.9031796,0.1701593,0.04113226,0.8011345,0.7239675,0.2521034,0.9379047,0.1454964,0.03944276,0.7981923,0.6728716,0.2947297,0.8940122,0.1592892,0.02345734,0.803102,0.7333213,0.05975423,0.7604363,0.446794,-0.1048697,0.7771956,0.4385286,0.03368436,0.7579003,0.08522022,-0.1296107,0.7745978,0.07686168,0.008312888,0.7554321,-0.2666637,-0.1536887,0.7720697,-0.2751127,-0.0009370372,0.7544576,-0.3948055,-0.162467,0.7710733,-0.4032875
71.58667,-0.01900189,1.307341,0.448732,-0.01418596,1.193296,0.4762219,-0.01044983,1.105381,0.4970783,-0.006768376,1.017643,0.5185641,-0.008174039,0.9310629,0.4925811,0.1553751,1.155273,0.4445826,-0.1856355,1.146706,0.4839283,0.1952324,1.117406,0.2433297,-0.08438318,0.9805216,0.5591347,0.2599772,0.9679214,0.1129933,0.01686924,0.8143374,0.6343411,0.2804399,0.9050388,0.1715472,0.04604741,0.8025642,0.7168731,0.2519969,0.9396699,0.1467689,0.04441344,0.7984961,0.6658528,0.2945739,0.8957678,0.1606825,0.02832217,0.8040801,0.7262158,0.05974676,0.760293,0.4466473,-0.1048622,0.7773389,0.4386753,0.03367687,0.7577572,0.08507344,-0.1296033,0.7747406,0.07700843,0.008305408,0.7552896,-0.2668105,-0.1536812,0.772212,-0.274966,-0.000944525,0.7543151,-0.3949524,-0.1624596,0.7712156,-0.4031407
71.59778,-0.01834319,1.307204,0.4491432,-0.01363881,1.193153,0.4766254,-0.009989075,1.105232,0.4974754,-0.006392807,1.017489,0.5189548,-0.007865988,0.9308189,0.4932794,0.1558289,1.154925,0.4447296,-0.1851411,1.146851,0.4848287,0.194315,1.120767,0.2425485,-0.08122837,0.9801123,0.555012,0.2597248,0.9699529,0.114089,0.02268433,0.8133739,0.6251953,0.2802801,0.9074984,0.1730672,0.05293308,0.8042832,0.7076809,0.2518252,0.9420152,0.1481436,0.05093136,0.7989945,0.6567858,0.2943263,0.8980878,0.1622086,0.03526193,0.8055488,0.7171623,0.05973893,0.7601523,0.4465029,-0.1048544,0.7774795,0.4388198,0.03366902,0.7576171,0.08492902,-0.1295954,0.7748808,0.07715291,0.008297481,0.7551499,-0.2669549,-0.1536734,0.7723516,-0.2748215,-0.0009524971,0.7541757,-0.3950967,-0.1624518,0.7713552,-0.4029961
71.60889,-0.01763025,1.307039,0.4495996,-0.0130737,1.192983,0.4770849,-0.009538569,1.105058,0.4979366,-0.006055824,1.017311,0.5194178,-0.007607318,0.930535,0.4941046,0.1562991,1.154518,0.4449647,-0.1846013,1.146331,0.4829104,0.193634,1.123775,0.2420208,-0.08654582,0.9781505,0.5579162,0.2599949,0.9728441,0.1141885,0.01150957,0.8099706,0.6329221,0.2806231,0.910895,0.1736722,0.04273326,0.8031328,0.7152618,0.252169,0.9452749,0.1485588,0.04039712,0.7968739,0.6644912,0.2945751,0.9013231,0.1628329,0.02512381,0.8041299,0.7248889,0.05973095,0.7600249,0.4463824,-0.1048464,0.777607,0.4389402,0.03366097,0.7574902,0.08480853,-0.1295875,0.7750077,0.07727331,0.008289479,0.7550235,-0.2670754,-0.1536655,0.772478,-0.2747011,-0.000960499,0.7540494,-0.3952172,-0.1624438,0.7714812,-0.4028758
71.62,-0.01696894,1.306858,0.4498868,-0.01256166,1.192808,0.4774212,-0.009141758,1.104887,0.4983107,-0.005773239,1.017144,0.5198297,-0.00739526,0.9302524,0.4949238,0.1567209,1.154091,0.4451205,-0.1841183,1.146093,0.4820463,0.1925554,1.127474,0.241325,-0.08967418,0.9761558,0.557722,0.2598056,0.9750922,0.1156974,0.004769959,0.8062183,0.6333976,0.280465,0.9136493,0.1756927,0.03735945,0.8019227,0.7153792,0.252026,0.947883,0.1503636,0.03455935,0.7947336,0.6647555,0.2943403,0.9039254,0.1648904,0.01985931,0.8024257,0.7252414,0.05972356,0.7599152,0.4462837,-0.104839,0.7777167,0.4390389,0.03365361,0.7573808,0.08470973,-0.1295801,0.775117,0.07737201,0.008282192,0.7549145,-0.2671742,-0.153658,0.7725869,-0.2746025,-0.0009677783,0.7539404,-0.3953162,-0.1624364,0.77159,-0.4027772
71.63111,-0.01601007,1.306651,0.4501026,-0.0118506,1.192611,0.4777195,-0.00862243,1.104699,0.4986729,-0.005444393,1.016965,0.5202557,-0.007193014,0.9299501,0.4957903,0.1573072,1.153509,0.4452177,-0.183509,1.146269,0.4823495,0.1914798,1.131762,0.2405607,-0.08612635,0.9752024,0.5514738,0.2600404,0.978741,0.1164269,0.01125629,0.804136,0.6205982,0.280656,0.9179986,0.1771465,0.04467699,0.8019774,0.7023289,0.2522712,0.9520206,0.1514738,0.04150288,0.7937181,0.6518908,0.2944503,0.9080747,0.1664227,0.02726538,0.8024324,0.7123486,0.05971595,0.7598076,0.4461894,-0.1048314,0.7778243,0.4391332,0.03364604,0.7572736,0.0846155,-0.1295725,0.7752242,0.07746631,0.008274406,0.7548076,-0.2672685,-0.1536506,0.7726938,-0.2745081,-0.0009755194,0.7538338,-0.3954104,-0.162429,0.7716967,-0.4026828
71.64222,-0.01514532,1.306413,0.4505124,-0.01124255,1.192378,0.4781896,-0.008212425,1.10447,0.4991902,-0.005231522,1.016741,0.5208199,-0.007097788,0.9296032,0.496804,0.1578084,1.152899,0.445574,-0.1830082,1.146441,0.4829226,0.1899763,1.136347,0.2401073,-0.08278815,0.9744448,0.5453612,0.2598945,0.9818339,0.1186067,0.0174321,0.8024488,0.6077998,0.2805304,0.9218142,0.180034,0.05145723,0.8025053,0.6893094,0.2521692,0.9556061,0.1540334,0.04807112,0.7931782,0.6390716,0.2942419,0.911697,0.1693848,0.03411106,0.8028671,0.6994458,0.05970951,0.7597323,0.4461463,-0.104825,0.7778996,0.4391764,0.03363958,0.7571986,0.0845724,-0.129566,0.7752993,0.07750943,0.00826817,0.7547329,-0.2673115,-0.153644,0.7727686,-0.2744648,-0.0009818077,0.7537592,-0.3954533,-0.1624224,0.7717715,-0.4026397
71.65334,-0.0145792,1.306158,0.4509701,-0.01089887,1.192132,0.4787105,-0.008039914,1.104229,0.4997596,-0.005229957,1.016506,0.5214379,-0.007176347,0.929251,0.4978611,0.1580959,1.152368,0.4461351,-0.1826644,1.145962,0.4810607,0.1884173,1.140498,0.2400649,-0.1093754,0.954051,0.5174466,0.2597849,0.9849255,0.1207799,-0.007731214,0.7989312,0.6130059,0.2804499,0.9256136,0.1828811,0.02664352,0.8012626,0.6943352,0.2521087,0.9591813,0.1565701,0.02328833,0.7910155,0.644275,0.2940777,0.9153085,0.1723049,0.009339347,0.8013211,0.7045496,0.05970608,0.7597165,0.4461858,-0.1048216,0.7779154,0.4391369,0.03363613,0.7571828,0.08461192,-0.1295626,0.7753151,0.07746997,0.008264668,0.7547173,-0.2672721,-0.1536406,0.7727842,-0.2745044,-0.0009852648,0.7537437,-0.3954139,-0.1624191,0.771787,-0.4026793
